data-time,wind,dir,slp,t2,rh2,td2
20180302-0,1.76,115.0,1008.5,273.05,44.0,262.19
20180302-1,1.49,84.0,1008.3,274.25,39.0,261.76
20180302-2,0.9,191.0,1007.6,275.85,33.0,261.09
20180302-3,1.23,183.0,1006.9,277.35,32.0,262.05
20180302-4,1.37,127.0,1005.8,277.85,30.0,261.67
20180302-5,2.28,121.0,1004.1,279.65,27.0,261.93
20180302-6,3.1,149.0,1002.8,280.65,26.0,262.32
20180302-7,2.22,156.0,1002.3,281.25,25.0,262.35
20180302-8,2.93,146.0,1001.6,281.75,25.0,262.78
20180302-9,1.29,155.0,1001.2,281.45,25.0,262.52
20180302-10,1.13,37.0,1001.5,279.95,27.0,262.19
20180302-11,2.02,38.0,1001.7,277.05,32.0,261.78
20180302-12,1.96,36.0,1001.8,276.65,34.0,262.19
20180302-13,1.53,75.0,1001.9,276.45,36.0,262.74
20180302-14,1.74,93.0,1001.8,277.95,41.0,265.78
20180302-15,0.91,356.0,1001.3,275.05,42.0,263.43
20180302-16,1.12,330.0,1000.8,273.25,52.0,264.51
20180302-17,0.93,311.0,1000.5,271.65,54.0,264.35
20180302-18,1.31,1.0,1000.1,272.45,56.0,265.53
20180302-19,0.38,68.0,999.2,270.95,62.0,265.28
20180302-20,1.05,6.0,998.9,271.35,62.0,265.66
20180302-21,1.35,14.0,998.9,270.45,68.0,265.87
20180302-22,0.6,317.0,998.9,270.25,67.0,265.51
20180302-23,0.39,331.0,999.4,270.35,65.0,265.25
20180303-0,1.21,351.0,1000.4,273.15,59.0,266.06
20180303-1,2.09,31.0,1000.5,276.65,49.0,266.91
20180303-2,1.51,20.0,1000.5,279.35,43.0,267.69
20180303-3,1.46,76.0,1000.6,280.95,49.0,270.92
20180303-4,1.73,152.0,1000.6,282.05,49.0,271.94
20180303-5,1.5,160.0,1000.7,282.55,50.0,272.68
20180303-6,2.58,107.0,999.8,282.65,53.0,273.58
20180303-7,2.48,120.0,1000.4,282.75,54.0,273.93
20180303-8,1.22,109.0,1001.8,282.45,58.0,274.64
20180303-9,1.35,129.0,1002.6,282.25,57.0,274.21
20180303-10,1.47,34.0,1004.0,281.65,58.0,273.88
20180303-11,1.02,360.0,1005.0,280.55,63.0,273.99
20180303-12,1.38,1.0,1005.4,279.75,67.0,274.08
20180303-13,2.48,350.0,1006.0,280.65,68.0,275.15
20180303-14,0.72,257.0,1007.3,279.95,71.0,275.08
20180303-15,1.19,253.0,1008.5,278.65,73.0,274.21
20180303-16,0.74,184.0,1009.0,277.35,73.0,272.95
20180303-17,2.41,19.0,1009.6,280.35,41.0,267.97
20180303-18,4.44,51.0,1010.5,283.25,16.0,258.46
20180303-19,5.02,42.0,1011.6,282.95,14.0,256.57
20180303-20,4.34,27.0,1012.0,281.95,15.0,256.59
20180303-21,4.23,23.0,1012.5,281.55,15.0,256.25
20180303-22,3.22,56.0,1013.2,281.15,16.0,256.71
20180303-23,2.55,102.0,1014.2,280.15,37.0,266.43
20180304-0,4.09,162.0,1015.0,279.65,69.0,274.39
20180304-1,3.91,173.0,1016.0,279.55,58.0,271.9
20180304-2,4.73,178.0,1016.8,279.75,50.0,270.07
20180304-3,4.05,205.0,1017.5,279.75,40.0,267.1
20180304-4,4.7,178.0,1017.2,280.05,37.0,266.34
20180304-5,5.07,163.0,1016.5,280.45,34.0,265.6
20180304-6,6.28,162.0,1016.0,279.95,34.0,265.15
20180304-7,4.86,170.0,1015.9,279.85,33.0,264.67
20180304-8,5.72,156.0,1016.1,279.05,34.0,264.34
20180304-9,4.77,140.0,1016.4,278.15,35.0,263.91
20180304-10,5.34,141.0,1017.3,277.45,37.0,263.99
20180304-11,3.86,142.0,1018.8,276.75,38.0,263.7
20180304-12,3.58,160.0,1019.9,276.15,39.0,263.49
20180304-13,3.14,180.0,1020.9,275.65,39.0,263.03
20180304-14,1.82,101.0,1021.4,274.45,43.0,263.18
20180304-15,0.57,105.0,1021.4,273.45,45.0,262.84
20180304-16,1.87,10.0,1021.9,270.45,53.0,263.0
20180304-17,1.66,34.0,1022.1,269.85,57.0,263.26
20180304-18,1.81,12.0,1022.6,268.85,60.0,262.89
20180304-19,1.29,344.0,1022.8,269.05,59.0,262.89
20180304-20,1.87,21.0,1023.2,267.25,67.0,262.61
20180304-21,1.7,358.0,1023.9,268.55,63.0,263.16
20180304-22,1.01,309.0,1024.7,269.15,64.0,263.92
20180304-23,1.03,20.0,1025.5,267.25,72.0,263.43
20180305-0,1.11,16.0,1026.5,272.05,57.0,265.35
20180305-1,1.68,78.0,1027.1,274.65,47.0,264.51
20180305-2,2.89,132.0,1027.4,276.65,37.0,263.27
20180305-3,3.28,164.0,1027.1,278.25,34.0,263.62
20180305-4,4.63,158.0,1026.5,279.95,29.0,263.1
20180305-5,3.79,182.0,1025.3,280.65,27.0,262.8
20180305-6,4.6,191.0,1024.1,281.55,21.0,260.4
20180305-7,4.27,191.0,1023.4,281.25,20.0,259.54
20180305-8,5.02,187.0,1023.0,280.95,22.0,260.47
20180305-9,5.02,183.0,1022.7,280.15,25.0,261.39
20180305-10,5.1,183.0,1022.8,278.55,27.0,260.96
20180305-11,6.87,170.0,1024.0,276.25,33.0,261.45
20180305-12,6.11,167.0,1025.4,274.95,37.0,261.73
20180305-13,5.53,171.0,1026.2,273.75,43.0,262.54
20180305-14,3.59,170.0,1027.0,273.15,48.0,263.39
20180305-15,2.99,90.0,1027.2,272.05,53.0,264.51
20180305-16,3.07,106.0,1027.7,271.05,59.0,264.8
20180305-17,3.11,131.0,1028.1,270.95,60.0,264.9
20180305-18,2.9,121.0,1028.3,270.85,61.0,265.0
20180305-19,1.63,104.0,1027.9,270.05,63.0,264.6
20180305-20,1.57,102.0,1028.2,270.05,64.0,264.78
20180305-21,2.1,104.0,1028.8,270.15,67.0,265.41
20180305-22,0.84,102.0,1029.7,268.55,68.0,264.04
20180305-23,1.95,109.0,1030.8,269.35,71.0,265.31
20180306-0,1.61,123.0,1032.0,270.75,66.0,265.82
20180306-1,4.13,123.0,1032.6,272.75,58.0,266.22
20180306-2,3.79,148.0,1033.1,273.25,56.0,265.48
20180306-3,2.85,167.0,1032.9,275.15,49.0,265.52
20180306-4,3.84,155.0,1032.2,276.15,44.0,265.04
20180306-5,2.71,158.0,1030.8,276.45,38.0,263.43
20180306-6,4.21,186.0,1029.8,277.75,32.0,262.4
20180306-7,4.59,158.0,1029.1,276.95,31.0,261.29
20180306-8,5.22,160.0,1028.6,277.15,30.0,261.05
20180306-9,6.74,163.0,1028.5,276.85,30.0,260.79
20180306-10,8.27,160.0,1029.2,275.45,36.0,261.83
20180306-11,7.15,164.0,1029.7,274.25,39.0,261.76
20180306-12,6.05,162.0,1029.8,273.75,33.0,259.21
20180306-13,5.08,157.0,1030.0,273.35,33.0,258.85
20180306-14,3.44,186.0,1029.8,272.55,40.0,261.76
20180306-15,4.61,155.0,1029.6,272.45,44.0,262.75
20180306-16,4.95,158.0,1028.9,271.75,44.0,262.1
20180306-17,3.95,161.0,1028.5,271.35,46.0,262.23
20180306-18,2.93,171.0,1028.0,270.85,48.0,262.25
20180306-19,3.19,142.0,1027.2,270.85,50.0,262.71
20180306-20,2.52,107.0,1026.1,270.55,45.0,261.24
20180306-21,3.23,147.0,1025.7,270.65,40.0,260.01
20180306-22,3.63,150.0,1024.7,270.35,41.0,260.01
20180306-23,4.04,157.0,1024.4,270.25,44.0,260.71
20180307-0,3.73,161.0,1024.6,270.95,43.0,261.1
20180307-1,3.35,164.0,1024.8,271.65,43.0,261.75
20180307-2,2.48,149.0,1024.1,271.95,44.0,262.29
20180307-3,2.16,169.0,1023.1,272.85,46.0,263.63
20180307-4,1.15,142.0,1022.1,274.95,42.0,263.34
20180307-5,1.9,155.0,1021.0,274.05,46.0,263.68
20180307-6,1.98,24.0,1020.5,274.35,47.0,264.23
20180307-7,1.08,156.0,1019.8,274.75,46.0,264.33
20180307-8,0.79,313.0,1019.5,275.15,46.0,264.7
20180307-9,1.55,184.0,1019.6,275.45,46.0,264.98
20180307-10,0.61,104.0,1020.6,274.65,48.0,264.79
20180307-11,1.99,43.0,1022.3,272.05,55.0,264.94
20180307-12,1.35,37.0,1023.6,271.95,56.0,265.05
20180307-13,0.33,329.0,1024.7,270.85,60.0,264.8
20180307-14,0.71,347.0,1026.1,271.15,58.0,264.7
20180307-15,1.18,344.0,1026.8,270.35,61.0,264.52
20180307-16,1.68,357.0,1027.4,268.55,64.0,263.34
20180307-17,1.57,3.0,1028.1,269.05,64.0,263.82
20180307-18,2.08,359.0,1028.4,269.95,56.0,263.15
20180307-19,2.8,360.0,1028.5,270.65,51.0,262.75
20180307-20,1.74,31.0,1028.6,269.35,50.0,261.3
20180307-21,3.4,41.0,1029.0,270.25,43.0,260.45
20180307-22,3.97,29.0,1029.2,269.75,42.0,259.72
20180307-23,3.0,14.0,1029.9,268.25,47.0,259.57
20180308-0,3.36,34.0,1030.4,271.75,34.0,259.21
20180308-1,4.13,42.0,1030.8,273.95,27.0,256.92
20180308-2,2.23,44.0,1030.9,275.85,25.0,257.64
20180308-3,1.72,116.0,1030.4,276.45,24.0,257.66
20180308-4,2.14,130.0,1029.2,278.45,22.0,258.32
20180308-5,1.37,266.0,1028.1,280.55,20.0,258.94
20180308-6,4.27,172.0,1026.6,280.75,21.0,259.72
20180308-7,3.91,196.0,1026.1,280.75,23.0,260.86
20180308-8,4.1,189.0,1025.6,280.25,27.0,262.45
20180308-9,4.67,185.0,1025.5,279.15,32.0,263.65
20180308-10,3.47,190.0,1024.6,278.15,34.0,263.54
20180308-11,1.95,191.0,1025.1,276.25,38.0,263.25
20180308-12,2.78,180.0,1025.6,274.55,45.0,263.86
20180308-13,3.68,180.0,1026.1,275.15,42.0,263.52
20180308-14,3.58,160.0,1025.8,275.55,41.0,263.58
20180308-15,4.5,152.0,1025.4,275.15,40.0,262.9
20180308-16,3.6,116.0,1025.0,272.55,51.0,264.54
20180308-17,3.84,113.0,1024.9,272.05,55.0,264.94
20180308-18,3.39,114.0,1024.5,270.95,60.0,264.9
20180308-19,2.46,100.0,1023.9,270.55,62.0,264.9
20180308-20,2.52,98.0,1023.6,270.15,63.0,264.7
20180308-21,2.01,102.0,1023.2,269.55,66.0,264.66
20180308-22,1.71,93.0,1022.7,269.25,67.0,264.54
20180308-23,1.63,114.0,1022.3,269.35,68.0,264.81
20180309-0,0.86,87.0,1022.4,270.85,61.0,265.0
20180309-1,1.36,130.0,1022.2,272.45,51.0,264.44
20180309-2,1.25,78.0,1021.2,273.15,48.0,263.39
20180309-3,1.84,107.0,1020.0,275.45,43.0,264.1
20180309-4,2.48,155.0,1018.6,276.95,39.0,264.22
20180309-5,2.23,141.0,1017.1,277.55,37.0,264.08
20180309-6,2.75,150.0,1015.4,280.85,33.0,265.57
20180309-7,2.32,187.0,1014.1,281.95,32.0,266.15
20180309-8,1.7,214.0,1013.3,282.35,32.0,266.5
20180309-9,1.87,180.0,1012.9,281.85,33.0,266.46
20180309-10,2.49,5.0,1013.0,278.25,39.0,265.4
20180309-11,1.59,19.0,1013.3,276.25,44.0,265.14
20180309-12,1.75,28.0,1013.3,276.05,45.0,265.24
20180309-13,2.33,33.0,1013.6,276.55,44.0,265.41
20180309-14,1.84,11.0,1014.0,275.95,46.0,265.44
20180309-15,1.39,303.0,1014.1,275.45,49.0,265.8
20180309-16,0.71,4.0,1014.2,271.45,60.0,265.38
20180309-17,0.98,352.0,1014.4,271.35,62.0,265.66
20180309-18,1.72,353.0,1014.9,273.25,56.0,265.48
20180309-19,1.88,5.0,1015.0,272.25,60.0,266.14
20180309-20,2.67,358.0,1015.2,272.75,61.0,266.81
20180309-21,2.13,356.0,1015.6,272.65,61.0,266.72
20180309-22,1.24,338.0,1016.1,272.65,60.0,266.52
20180309-23,2.94,351.0,1016.6,273.65,58.0,266.31
20180310-0,5.05,8.0,1017.4,276.55,47.0,266.27
20180310-1,2.63,55.0,1018.4,279.95,36.0,265.9
20180310-2,3.21,144.0,1019.6,281.25,36.0,267.07
20180310-3,6.27,149.0,1019.5,282.95,33.0,267.44
20180310-4,4.93,145.0,1019.4,284.25,30.0,267.34
20180310-5,5.13,131.0,1018.7,285.05,31.0,268.48
20180310-6,4.27,164.0,1018.0,285.25,32.0,269.09
20180310-7,4.7,169.0,1017.7,285.55,31.0,268.93
20180310-8,4.64,163.0,1017.3,285.65,31.0,269.02
20180310-9,5.46,175.0,1017.6,284.15,35.0,269.3
20180310-10,5.69,157.0,1018.1,282.55,40.0,269.65
20180310-11,5.99,146.0,1019.0,280.25,43.0,268.51
20180310-12,7.28,157.0,1020.0,278.45,45.0,267.46
20180310-13,4.74,180.0,1020.9,277.05,44.0,265.87
20180310-14,3.03,184.0,1021.5,276.05,46.0,265.53
20180310-15,4.92,160.0,1022.1,275.65,53.0,267.01
20180310-16,2.83,175.0,1022.6,273.15,61.0,266.5
20180310-17,1.59,189.0,1022.6,273.75,58.0,266.41
20180310-18,0.98,248.0,1022.3,271.35,66.0,266.39
20180310-19,0.69,16.0,1021.8,269.95,72.0,266.06
20180310-20,0.42,337.0,1021.4,269.35,75.0,265.95
20180310-21,0.3,17.0,1021.6,268.45,79.0,265.68
20180310-22,0.8,13.0,1021.6,267.85,80.0,265.23
20180310-23,0.84,295.0,1022.1,269.05,77.0,265.96
20180311-0,0.88,338.0,1022.2,273.55,61.0,266.88
