data-time,wind,dir,slp,t2,rh2,td2
20180302-0,1.68,108.0,1009.3,272.85,45.0,263.38
20180302-1,1.94,134.0,1009.2,274.75,40.0,262.54
20180302-2,1.11,203.0,1008.4,275.55,35.0,261.57
20180302-3,1.07,169.0,1007.8,277.65,31.0,261.91
20180302-4,1.73,238.0,1006.7,278.35,29.0,261.69
20180302-5,2.43,219.0,1005.1,279.95,27.0,262.19
20180302-6,3.32,185.0,1003.7,281.35,25.0,262.43
20180302-7,2.95,191.0,1003.2,280.85,25.0,262.0
20180302-8,3.07,178.0,1002.5,281.55,24.0,262.09
20180302-9,1.62,116.0,1002.1,281.55,24.0,262.09
20180302-10,0.65,84.0,1002.3,280.25,29.0,263.36
20180302-11,0.89,14.0,1002.5,277.75,35.0,263.55
20180302-12,1.0,34.0,1002.7,276.15,42.0,264.44
20180302-13,1.89,85.0,1002.8,277.15,38.0,264.06
20180302-14,1.11,104.0,1002.7,277.65,43.0,266.12
20180302-15,1.05,99.0,1002.3,275.75,51.0,266.6
20180302-16,0.86,295.0,1001.7,275.75,57.0,268.07
20180302-17,1.4,330.0,1001.4,274.95,54.0,266.6
20180302-18,0.83,19.0,1000.9,272.75,66.0,267.74
20180302-19,0.88,1.0,1000.1,272.35,70.0,268.05
20180302-20,0.87,18.0,999.8,272.35,67.0,267.53
20180302-21,1.69,333.0,999.8,272.05,68.0,267.42
20180302-22,1.13,352.0,999.7,271.85,67.0,267.05
20180302-23,0.75,341.0,1000.3,272.35,63.0,266.81
20180303-0,1.9,336.0,1001.2,274.65,53.0,266.08
20180303-1,1.78,355.0,1001.4,276.45,47.0,266.18
20180303-2,1.43,44.0,1001.4,279.45,43.0,267.78
20180303-3,1.56,52.0,1001.5,281.15,53.0,272.17
20180303-4,1.58,84.0,1001.6,281.65,53.0,272.64
20180303-5,0.96,92.0,1001.7,282.25,53.0,273.2
20180303-6,2.37,101.0,1000.6,282.55,52.0,273.22
20180303-7,2.08,99.0,1001.3,282.55,56.0,274.25
20180303-8,1.05,118.0,1002.8,282.15,56.0,273.87
20180303-9,1.17,157.0,1003.6,281.85,58.0,274.07
20180303-10,1.37,19.0,1004.9,281.25,62.0,274.43
20180303-11,1.55,11.0,1005.9,281.35,65.0,275.19
20180303-12,0.73,82.0,1006.2,279.55,65.0,273.46
20180303-13,1.2,110.0,1007.0,279.45,72.0,274.79
20180303-14,1.34,248.0,1008.3,279.45,68.0,273.99
20180303-15,0.41,307.0,1009.3,278.75,75.0,274.68
20180303-16,0.58,30.0,1009.8,278.85,68.0,273.42
20180303-17,2.82,38.0,1010.4,283.45,17.0,259.37
20180303-18,4.17,40.0,1011.5,283.95,13.0,256.49
20180303-19,4.23,29.0,1012.4,283.65,12.0,255.28
20180303-20,4.02,38.0,1012.9,282.75,13.0,255.51
20180303-21,4.63,16.0,1013.3,282.15,14.0,255.91
20180303-22,2.71,60.0,1014.1,281.35,15.0,256.09
