data-time,wind,ap,tmp,humi
2018-03-06-10:00:00,8.36,1033.83,276.05,31.0
2018-03-06-11:00:00,8.35,1034.33,274.35,33.0
2018-03-06-12:00:00,6.41,1034.43,273.85,27.0
2018-03-06-13:00:00,6.09,1034.53,273.65,29.0
2018-03-06-14:00:00,4.99,1034.32,273.25,33.0
2018-03-06-15:00:00,4.51,1034.22,272.65,41.0
2018-03-06-16:00:00,4.76,1033.42,272.05,41.0
2018-03-06-17:00:00,3.49,1033.01,272.05,43.0
2018-03-06-18:00:00,3.84,1032.51,271.75,45.0
2018-03-06-19:00:00,3.55,1031.81,271.35,42.0
2018-03-06-20:00:00,2.94,1030.7,270.35,40.0
2018-03-06-21:00:00,2.84,1030.31,270.85,37.0
2018-03-06-22:00:00,3.99,1029.2,270.65,37.0
2018-03-06-23:00:00,3.19,1029.0,270.45,40.0
2018-03-07-00:00:01,3.74,1029.0,271.05,39.0
2018-03-07-01:00:00,3.06,1029.31,271.45,40.0
2018-03-07-02:00:00,2.59,1028.71,271.75,41.0
2018-03-07-03:00:00,1.93,1027.61,272.55,43.0
2018-03-07-04:00:00,2.31,1026.61,273.95,43.0
2018-03-07-05:00:00,1.87,1025.51,273.95,45.0
2018-03-07-06:00:00,2.09,1024.91,274.65,44.0
2018-03-07-07:00:00,0.9,1024.51,274.75,43.0
2018-03-07-08:00:00,1.39,1024.01,274.95,44.0
2018-03-07-09:00:00,2.66,1024.01,275.55,44.0
2018-03-07-10:00:00,1.93,1025.11,274.95,45.0
2018-03-07-11:00:00,2.68,1026.71,274.05,48.0
2018-03-07-12:00:00,2.09,1028.1,273.25,50.0
2018-03-07-13:00:00,0.81,1029.2,272.25,55.0
2018-03-07-14:00:00,2.4,1030.5,272.45,52.0
2018-03-07-15:00:00,2.93,1031.2,271.15,56.0
2018-03-07-16:00:00,2.53,1031.92,271.15,57.0
2018-03-07-17:00:00,2.75,1032.52,271.35,53.0
2018-03-07-18:00:00,1.94,1032.81,270.15,53.0
2018-03-07-19:00:00,2.7,1032.91,269.75,51.0
2018-03-07-20:00:00,3.22,1033.11,269.95,46.0
2018-03-07-21:00:00,4.39,1033.52,270.75,37.0
2018-03-07-22:00:00,4.84,1033.62,270.45,34.0
2018-03-07-23:00:00,3.9,1034.41,270.45,32.0
2018-03-08-00:00:01,4.8,1034.82,272.35,27.0
2018-03-08-01:00:00,5.14,1035.33,274.25,24.0
2018-03-08-02:00:00,2.34,1035.44,275.95,21.0
2018-03-08-03:00:00,1.08,1034.94,278.05,19.0
2018-03-08-04:00:00,1.89,1033.85,278.05,20.0
2018-03-08-05:00:00,3.05,1032.65,279.45,18.0
2018-03-08-06:00:00,4.32,1031.25,280.35,17.0
2018-03-08-07:00:00,5.6,1030.85,280.25,21.0
2018-03-08-08:00:00,5.5,1030.14,279.95,25.0
2018-03-08-09:00:00,4.84,1029.94,279.75,27.0
2018-03-08-10:00:00,5.77,1029.03,279.15,28.0
2018-03-08-11:00:00,4.44,1029.63,277.95,32.0
2018-03-08-12:00:00,4.63,1030.23,277.45,34.0
2018-03-08-13:00:00,4.48,1030.63,276.65,35.0
2018-03-08-14:00:00,3.89,1030.42,276.35,34.0
2018-03-08-15:00:00,4.01,1029.92,275.35,37.0
2018-03-08-16:00:00,3.91,1029.62,272.45,49.0
2018-03-08-17:00:00,3.87,1029.51,272.15,52.0
2018-03-08-18:00:00,4.23,1029.01,270.95,60.0
2018-03-08-19:00:00,2.89,1028.3,269.55,65.0
2018-03-08-20:00:00,3.12,1028.1,269.65,63.0
2018-03-08-21:00:00,2.6,1027.69,268.95,67.0
2018-03-08-22:00:00,1.87,1027.09,268.85,67.0
2018-03-08-23:00:00,1.74,1026.68,268.75,69.0
2018-03-09-00:00:01,1.5,1027.0,270.55,62.0
2018-03-09-01:00:00,1.74,1026.61,272.45,50.0
2018-03-09-02:00:00,1.83,1025.61,273.55,45.0
2018-03-09-03:00:00,1.31,1024.41,275.45,39.0
2018-03-09-04:00:00,2.33,1023.02,276.85,34.0
2018-03-09-05:00:00,1.38,1021.42,278.55,33.0
2018-03-09-06:00:00,3.6,1019.82,280.65,30.0
2018-03-09-07:00:00,3.72,1018.42,281.95,29.0
2018-03-09-08:00:00,2.63,1017.72,282.15,29.0
2018-03-09-09:00:00,2.54,1017.42,282.05,29.0
2018-03-09-10:00:00,2.16,1017.32,281.65,31.0
2018-03-09-11:00:00,2.77,1017.7,276.75,40.0
2018-03-09-12:00:00,2.78,1017.8,276.45,41.0
2018-03-09-13:00:00,2.19,1018.0,276.65,42.0
2018-03-09-14:00:00,1.94,1018.4,275.75,45.0
2018-03-09-15:00:00,2.4,1018.59,276.15,44.0
2018-03-09-16:00:00,1.18,1018.59,274.85,46.0
2018-03-09-17:00:00,1.82,1018.79,274.15,49.0
2018-03-09-18:00:00,2.57,1019.29,273.55,53.0
2018-03-09-19:00:00,2.45,1019.38,272.95,56.0
2018-03-09-20:00:00,3.5,1019.48,272.85,59.0
2018-03-09-21:00:00,3.49,1019.89,272.65,60.0
2018-03-09-22:00:00,3.76,1020.49,273.65,56.0
2018-03-09-23:00:00,4.44,1020.9,273.95,54.0
2018-03-10-00:00:01,5.55,1021.81,276.95,44.0
2018-03-10-01:00:00,2.62,1023.03,279.65,33.0
2018-03-10-02:00:00,3.33,1024.13,280.45,35.0
2018-03-10-03:00:00,5.56,1023.94,282.45,31.0
2018-03-10-04:00:00,4.55,1023.75,283.65,29.0
2018-03-10-05:00:00,5.86,1023.24,284.45,28.0
2018-03-10-06:00:00,5.28,1022.44,284.95,28.0
2018-03-10-07:00:00,5.01,1022.14,285.35,27.0
2018-03-10-08:00:00,4.82,1021.84,285.35,27.0
2018-03-10-09:00:00,6.52,1022.14,284.25,30.0
2018-03-10-10:00:00,6.21,1022.63,283.15,34.0
2018-03-10-11:00:00,6.06,1023.63,280.85,37.0
2018-03-10-12:00:00,6.54,1024.52,278.75,40.0
2018-03-10-13:00:00,6.15,1025.42,277.65,37.0
2018-03-10-14:00:00,4.56,1026.11,277.15,40.0
2018-03-10-15:00:00,4.39,1026.71,275.95,49.0
2018-03-10-16:00:00,3.83,1027.11,275.35,50.0
2018-03-10-17:00:00,2.73,1027.11,274.35,54.0
2018-03-10-18:00:00,1.76,1026.7,273.95,52.0
2018-03-10-19:00:00,2.27,1026.3,274.85,40.0
2018-03-10-20:00:00,1.01,1025.89,272.05,59.0
2018-03-10-21:00:00,0.52,1025.99,272.25,61.0
2018-03-10-22:00:00,0.89,1026.09,271.55,64.0
2018-03-10-23:00:00,0.98,1026.59,271.45,65.0
2018-03-11-00:00:01,1.39,1026.71,274.75,51.0
2018-03-11-01:00:00,2.09,1026.52,276.45,39.0
2018-03-11-02:00:00,1.39,1026.43,277.75,32.0
2018-03-11-03:00:00,1.5,1025.72,277.65,31.0
2018-03-11-04:00:00,2.43,1024.82,277.75,32.0
2018-03-11-05:00:00,1.88,1023.83,278.65,31.0
2018-03-11-06:00:00,1.19,1022.42,279.55,29.0
2018-03-11-07:00:00,1.59,1021.62,279.65,29.0
2018-03-11-08:00:00,1.79,1020.72,279.95,30.0
2018-03-11-09:00:00,1.86,1020.22,280.45,32.0
2018-03-11-10:00:00,2.02,1020.12,280.25,34.0
2018-03-11-11:00:00,1.62,1020.02,279.25,31.0
2018-03-11-12:00:00,1.79,1020.21,278.55,33.0
2018-03-11-13:00:00,1.35,1020.01,278.65,32.0
2018-03-11-14:00:00,1.05,1019.81,278.55,34.0
2018-03-11-15:00:00,1.13,1019.51,278.65,34.0
2018-03-11-16:00:00,1.37,1019.01,277.85,39.0
2018-03-11-17:00:00,1.04,1018.51,278.25,38.0
2018-03-11-18:00:00,1.86,1017.91,278.15,63.0
2018-03-11-19:00:00,2.3,1017.0,277.35,67.0
2018-03-11-20:00:00,1.69,1016.29,276.25,73.0
2018-03-11-21:00:00,0.56,1015.88,275.15,52.0
2018-03-11-22:00:00,0.99,1015.68,274.35,53.0
2018-03-11-23:00:00,0.52,1015.48,274.05,54.0
2018-03-12-00:00:01,1.59,1015.59,276.45,49.0
2018-03-12-01:00:00,1.3,1015.6,278.35,43.0
2018-03-12-02:00:00,0.94,1015.01,280.45,36.0
2018-03-12-03:00:00,1.03,1014.21,282.05,32.0
2018-03-12-04:00:00,1.54,1013.21,282.95,31.0
2018-03-12-05:00:00,1.44,1012.11,283.75,30.0
2018-03-12-06:00:00,2.03,1010.81,284.35,31.0
2018-03-12-07:00:00,3.44,1010.22,285.05,34.0
2018-03-12-08:00:00,3.35,1009.61,285.45,34.0
2018-03-12-09:00:00,3.4,1009.51,285.35,36.0
2018-03-12-10:00:00,2.78,1009.81,284.75,38.0
2018-03-12-11:00:00,2.62,1010.2,284.85,39.0
2018-03-12-12:00:00,2.27,1010.59,281.75,50.0
2018-03-12-13:00:00,2.08,1010.69,281.75,51.0
2018-03-12-14:00:00,1.76,1010.49,281.05,54.0
2018-03-12-15:00:00,0.88,1010.58,280.35,60.0
2018-03-12-16:00:00,1.5,1010.39,277.65,65.0
2018-03-12-17:00:00,0.68,1010.18,277.05,67.0
2018-03-12-18:00:00,1.24,1010.18,276.75,68.0
2018-03-12-19:00:00,1.99,1009.67,276.15,67.0
2018-03-12-20:00:00,1.76,1009.47,275.75,66.0
2018-03-12-21:00:00,2.05,1009.36,275.55,67.0
2018-03-12-22:00:00,2.91,1009.37,275.75,68.0
2018-03-12-23:00:00,2.49,1009.67,275.35,70.0
2018-03-13-00:00:01,2.84,1010.09,277.75,62.0
2018-03-13-01:00:00,1.96,1010.4,281.05,50.0
2018-03-13-02:00:00,2.08,1010.21,283.35,42.0
2018-03-13-03:00:00,1.63,1009.92,286.95,33.0
2018-03-13-04:00:00,0.84,1009.22,287.95,30.0
2018-03-13-05:00:00,1.13,1008.62,290.05,26.0
2018-03-13-06:00:00,1.78,1007.63,290.25,25.0
2018-03-13-07:00:00,2.61,1007.03,291.25,24.0
2018-03-13-08:00:00,2.59,1007.03,291.85,23.0
2018-03-13-09:00:00,1.9,1007.13,291.95,23.0
2018-03-13-10:00:00,2.09,1007.52,291.55,24.0
2018-03-13-11:00:00,1.54,1008.01,288.05,30.0
2018-03-13-12:00:00,1.58,1008.8,287.15,33.0
2018-03-13-13:00:00,1.68,1009.3,286.45,36.0
2018-03-13-14:00:00,1.19,1009.5,283.95,43.0
2018-03-13-15:00:00,0.3,1009.61,284.95,44.0
2018-03-13-16:00:00,0.6,1009.9,282.65,48.0
2018-03-13-17:00:00,0.44,1010.3,283.65,49.0
2018-03-13-18:00:00,4.03,1010.91,283.55,63.0
2018-03-13-19:00:00,1.78,1010.21,283.15,68.0
2018-03-13-20:00:00,1.22,1009.8,282.45,72.0
2018-03-13-21:00:00,1.79,1009.79,282.55,73.0
2018-03-13-22:00:00,2.08,1009.89,283.15,71.0
2018-03-13-23:00:00,1.07,1010.19,282.05,73.0
2018-03-14-00:00:01,2.56,1010.6,282.35,71.0
2018-03-14-01:00:00,1.29,1010.71,282.95,69.0
2018-03-14-02:00:00,2.73,1010.21,284.25,62.0
2018-03-14-03:00:00,3.2,1010.22,286.05,57.0
