data-time,wind,ap,tmp,humi
2018-05-05-03:00:00,6.19,1005.56,294.15,1.73
2018-05-05-04:00:00,5.93,1005.06,290.15,-0.44
2018-05-05-05:00:00,5.45,1004.56,288.15,-3.22
2018-05-05-06:00:00,5.65,1004.65,287.15,-4.47
2018-05-05-07:00:00,7.12,1004.35,288.15,-3.63
2018-05-05-08:00:00,8.2,1004.45,294.15,0.46
2018-05-05-09:00:00,6.57,1003.75,299.15,2.66
2018-05-05-10:00:00,5.31,1004.05,303.15,4.78
2018-05-05-11:00:00,2.7,1005.15,306.15,4.99
2018-05-05-12:00:00,2.0,1005.93,309.15,5.7
2018-05-05-13:00:00,3.39,1007.04,304.15,4.01
2018-05-05-14:00:00,2.24,1007.53,309.15,4.98
2018-05-05-15:00:00,1.44,1007.53,310.15,4.66
2018-05-05-16:00:00,2.34,1007.62,314.15,5.67
2018-05-05-17:00:00,2.08,1007.62,327.15,6.59
2018-05-05-18:00:00,1.31,1007.32,326.15,6.7
2018-05-05-19:00:00,2.51,1007.02,335.15,7.28
2018-05-05-20:00:00,1.99,1007.12,334.15,7.13
2018-05-05-21:00:00,1.61,1007.12,339.15,7.71
2018-05-05-22:00:00,3.4,1007.12,341.15,8.34
2018-05-05-23:00:00,2.32,1007.33,332.15,8.73
2018-05-06-00:00:01,3.27,1007.74,320.15,7.93
2018-05-06-01:00:00,1.06,1007.55,312.15,7.49
2018-05-06-02:00:00,1.19,1007.25,307.15,7.02
2018-05-06-03:00:00,1.92,1006.75,301.15,5.63
2018-05-06-04:00:00,2.22,1005.56,300.15,5.89
2018-05-06-05:00:00,2.0,1004.16,291.15,1.85
2018-05-06-06:00:00,3.66,1003.26,288.15,-0.68
2018-05-06-07:00:00,4.0,1002.57,288.15,-0.43
2018-05-06-08:00:00,4.13,1002.07,291.15,2.43
2018-05-06-09:00:00,5.02,1001.96,296.15,5.23
2018-05-06-10:00:00,6.31,1002.16,299.15,6.22
2018-05-06-11:00:00,5.56,1002.46,302.15,6.84
2018-05-06-12:00:00,3.92,1002.75,299.15,4.92
2018-05-06-13:00:00,3.71,1002.85,307.15,7.29
2018-05-06-14:00:00,3.92,1002.95,315.15,9.85
2018-05-06-15:00:00,3.28,1003.04,320.15,11.16
2018-05-06-16:00:00,1.46,1003.24,324.15,11.26
2018-05-06-17:00:00,1.71,1003.33,330.15,11.34
2018-05-06-18:00:00,1.62,1003.63,335.15,11.36
2018-05-06-19:00:00,3.22,1004.23,337.15,11.55
2018-05-06-20:00:00,2.28,1004.83,337.15,11.08
2018-05-06-21:00:00,2.45,1005.13,338.15,9.97
2018-05-06-22:00:00,2.39,1005.93,337.15,10.03
2018-05-06-23:00:00,1.9,1006.74,326.15,9.5
2018-05-07-00:00:01,2.49,1007.64,318.15,8.95
2018-05-07-01:00:00,1.65,1008.15,314.15,9.86
2018-05-07-02:00:00,4.0,1008.35,299.15,4.31
2018-05-07-03:00:00,4.96,1008.56,293.15,1.47
2018-05-07-04:00:00,4.98,1008.36,299.15,6.13
2018-05-07-05:00:00,4.82,1007.96,309.15,10.36
2018-05-07-06:00:00,6.14,1007.66,305.15,8.71
2018-05-07-07:00:00,4.72,1006.96,309.15,11.08
2018-05-07-08:00:00,5.94,1006.66,304.15,9.22
2018-05-07-09:00:00,6.39,1006.66,300.15,6.68
2018-05-07-10:00:00,6.7,1006.75,301.15,6.24
2018-05-07-11:00:00,6.94,1007.65,293.15,-0.22
2018-05-07-12:00:00,4.43,1008.74,290.15,-3.27
2018-05-07-13:00:00,5.42,1010.04,297.15,0.34
2018-05-07-14:00:00,4.9,1010.64,300.15,0.5
2018-05-07-15:00:00,5.39,1011.33,301.15,0.74
2018-05-07-16:00:00,4.18,1011.93,303.15,0.99
2018-05-07-17:00:00,2.66,1012.82,305.15,1.27
2018-05-07-18:00:00,1.95,1013.12,314.15,3.12
2018-05-07-19:00:00,0.65,1013.02,310.15,2.04
2018-05-07-20:00:00,1.15,1013.51,323.15,4.65
2018-05-07-21:00:00,2.2,1013.71,323.15,5.11
2018-05-07-22:00:00,1.38,1014.51,323.15,5.11
2018-05-07-23:00:00,1.33,1014.92,316.15,4.44
2018-05-08-00:00:01,1.92,1015.23,310.15,4.39
2018-05-08-01:00:00,1.8,1015.44,305.15,3.75
2018-05-08-02:00:00,3.37,1015.14,297.15,1.11
2018-05-08-03:00:00,4.1,1015.05,291.15,-1.32
2018-05-08-04:00:00,3.67,1014.35,290.15,-1.69
2018-05-08-05:00:00,5.79,1013.95,291.15,-0.57
2018-05-08-06:00:00,4.96,1013.35,292.15,0.26
2018-05-08-07:00:00,4.7,1012.75,292.15,0.51
2018-05-08-08:00:00,4.46,1012.25,294.15,2.24
2018-05-08-09:00:00,5.66,1012.25,295.15,2.55
2018-05-08-10:00:00,4.57,1012.65,296.15,2.75
2018-05-08-11:00:00,5.09,1013.14,300.15,4.33
2018-05-08-12:00:00,5.1,1014.24,301.15,3.45
2018-05-08-13:00:00,7.5,1014.94,300.15,2.15
2018-05-08-14:00:00,5.83,1015.54,302.15,2.1
2018-05-08-15:00:00,4.1,1015.83,303.15,1.96
2018-05-08-16:00:00,3.61,1016.03,304.15,1.71
2018-05-08-17:00:00,2.98,1016.12,308.15,2.16
2018-05-08-18:00:00,2.96,1015.92,316.15,4.07
2018-05-08-19:00:00,3.06,1016.22,319.15,4.48
2018-05-08-20:00:00,1.87,1016.52,324.15,4.93
2018-05-08-21:00:00,2.13,1016.81,325.15,5.12
2018-05-08-22:00:00,1.85,1017.41,327.15,5.75
2018-05-08-23:00:00,1.78,1017.62,320.15,5.53
2018-05-09-00:00:01,1.71,1017.93,315.15,5.38
2018-05-09-01:00:00,1.49,1018.03,308.15,4.58
2018-05-09-02:00:00,2.53,1017.84,305.15,4.37
2018-05-09-03:00:00,2.03,1017.14,303.15,4.96
2018-05-09-04:00:00,2.78,1016.25,303.15,6.1
2018-05-09-05:00:00,4.84,1015.15,300.15,6.15
2018-05-09-06:00:00,4.27,1014.66,298.15,5.48
2018-05-09-07:00:00,5.4,1013.85,296.15,4.97
2018-05-09-08:00:00,5.87,1013.26,297.15,5.5
2018-05-09-09:00:00,5.9,1013.16,298.15,5.91
2018-05-09-10:00:00,4.93,1013.25,299.15,5.87
2018-05-09-11:00:00,5.22,1013.15,300.15,5.72
2018-05-09-12:00:00,4.09,1013.54,301.15,5.54
2018-05-09-13:00:00,2.99,1014.23,304.15,6.04
2018-05-09-14:00:00,2.91,1014.23,309.15,6.6
2018-05-09-15:00:00,2.93,1014.13,320.15,8.66
2018-05-09-16:00:00,2.42,1013.92,324.15,9.22
2018-05-09-17:00:00,4.36,1013.43,325.15,9.5
2018-05-09-18:00:00,2.55,1013.33,330.15,9.64
2018-05-09-19:00:00,3.57,1012.93,334.15,9.79
2018-05-09-20:00:00,1.7,1012.93,336.15,10.18
2018-05-09-21:00:00,1.46,1012.82,337.15,10.22
2018-05-09-22:00:00,1.45,1013.12,338.15,10.64
2018-05-09-23:00:00,1.86,1013.43,334.15,10.65
2018-05-10-00:00:01,1.71,1013.53,331.15,10.94
2018-05-10-01:00:00,1.67,1013.94,327.15,11.75
2018-05-10-02:00:00,1.38,1013.34,324.15,11.64
2018-05-10-03:00:00,1.97,1013.05,321.15,12.12
2018-05-10-04:00:00,3.09,1012.35,319.15,12.21
2018-05-10-05:00:00,2.47,1011.65,316.15,12.12
2018-05-10-06:00:00,4.01,1010.76,313.15,11.94
2018-05-10-07:00:00,4.78,1009.86,312.15,11.74
2018-05-10-08:00:00,2.72,1009.46,311.15,11.44
2018-05-10-09:00:00,4.23,1009.16,314.15,12.76
2018-05-10-10:00:00,5.07,1008.86,315.15,12.49
2018-05-10-11:00:00,4.62,1009.25,317.15,12.74
2018-05-10-12:00:00,3.01,1009.45,318.15,12.25
2018-05-10-13:00:00,3.97,1010.05,319.15,12.67
2018-05-10-14:00:00,4.0,1010.24,320.15,12.72
2018-05-10-15:00:00,2.74,1010.14,325.15,13.33
2018-05-10-16:00:00,3.0,1009.74,326.15,13.24
2018-05-10-17:00:00,3.1,1008.94,330.15,13.31
2018-05-10-18:00:00,2.43,1008.64,332.15,13.08
2018-05-10-19:00:00,4.44,1008.14,327.15,11.93
2018-05-10-20:00:00,3.22,1008.04,334.15,12.26
2018-05-10-21:00:00,1.92,1007.34,338.15,12.74
2018-05-10-22:00:00,4.14,1007.84,332.15,12.23
2018-05-10-23:00:00,3.48,1008.54,334.15,12.54
2018-05-11-00:00:01,2.55,1008.64,336.15,12.94
2018-05-11-01:00:00,3.51,1008.64,333.15,12.86
2018-05-11-02:00:00,4.13,1008.44,333.15,12.77
2018-05-11-03:00:00,1.79,1008.14,335.15,12.88
2018-05-11-04:00:00,3.27,1007.74,336.15,13.41
2018-05-11-05:00:00,3.54,1007.44,332.15,12.7
2018-05-11-06:00:00,3.66,1007.04,331.15,12.73
2018-05-11-07:00:00,3.16,1006.25,332.15,13.36
2018-05-11-08:00:00,2.63,1005.85,330.15,12.84
2018-05-11-09:00:00,2.68,1005.65,331.15,12.92
2018-05-11-10:00:00,2.51,1005.55,335.15,13.64
2018-05-11-11:00:00,2.71,1005.64,335.15,13.26
2018-05-11-12:00:00,1.84,1005.74,337.15,13.37
2018-05-11-13:00:00,1.23,1006.44,338.15,13.41
2018-05-11-14:00:00,1.5,1006.74,344.15,14.27
2018-05-11-15:00:00,3.44,1006.54,354.15,14.93
2018-05-11-16:00:00,3.98,1006.34,355.15,14.83
2018-05-11-17:00:00,4.12,1005.94,356.15,14.82
2018-05-11-18:00:00,3.46,1005.54,358.15,14.89
2018-05-11-19:00:00,2.44,1004.94,360.15,14.75
2018-05-11-20:00:00,2.49,1004.53,360.15,14.26
2018-05-11-21:00:00,1.55,1004.63,361.15,14.24
2018-05-11-22:00:00,2.02,1004.73,361.15,14.04
2018-05-11-23:00:00,2.49,1005.13,359.15,13.88
2018-05-12-00:00:01,2.86,1005.13,357.15,13.92
2018-05-12-01:00:00,2.24,1004.74,352.15,14.35
2018-05-12-02:00:00,1.61,1004.64,347.15,14.91
2018-05-12-03:00:00,1.42,1004.25,341.15,14.67
2018-05-12-04:00:00,2.99,1003.25,334.15,14.54
2018-05-12-05:00:00,2.2,1002.15,331.15,14.61
2018-05-12-06:00:00,2.8,1000.76,329.15,14.74
2018-05-12-07:00:00,3.0,999.46,326.15,14.55
2018-05-12-08:00:00,3.23,999.76,325.15,14.44
2018-05-12-09:00:00,3.07,999.96,325.15,14.72
2018-05-12-10:00:00,2.83,999.76,338.15,16.08
2018-05-12-11:00:00,6.71,1001.43,353.15,12.59
2018-05-12-12:00:00,2.02,1001.54,347.15,12.68
2018-05-12-13:00:00,2.23,1002.24,342.15,12.11
2018-05-12-14:00:00,1.78,1002.24,340.15,12.05
2018-05-12-15:00:00,2.79,1003.04,338.15,11.88
2018-05-12-16:00:00,2.8,1002.53,341.15,11.98
2018-05-12-17:00:00,2.27,1002.03,345.15,12.36
2018-05-12-18:00:00,2.5,1001.93,358.15,12.82
2018-05-12-19:00:00,2.38,1001.63,359.15,12.7
2018-05-12-20:00:00,1.67,1001.53,360.15,12.48
2018-05-12-21:00:00,2.49,1001.42,362.15,12.04
2018-05-12-22:00:00,2.4,1001.53,358.15,11.94
2018-05-12-23:00:00,2.14,1001.94,347.15,12.1
2018-05-13-00:00:01,2.21,1001.84,337.15,11.36
2018-05-13-01:00:00,1.84,1002.25,329.15,11.35
2018-05-13-02:00:00,1.77,1002.15,324.15,11.82
2018-05-13-03:00:00,1.79,1001.76,317.15,11.27
2018-05-13-04:00:00,3.45,1001.06,313.15,10.76
2018-05-13-05:00:00,3.53,1000.06,314.15,11.95
2018-05-13-06:00:00,4.34,999.47,309.15,11.08
2018-05-13-07:00:00,5.22,998.17,305.15,10.13
2018-05-13-08:00:00,5.29,997.87,311.15,12.61
2018-05-13-09:00:00,6.04,997.67,307.15,11.3
2018-05-13-10:00:00,4.01,997.67,323.15,15.61
2018-05-13-11:00:00,4.65,997.86,327.15,15.68
2018-05-13-12:00:00,4.32,998.26,332.15,15.82
2018-05-13-13:00:00,4.37,998.86,334.15,16.15
2018-05-13-14:00:00,1.98,998.95,340.15,16.36
2018-05-13-15:00:00,4.22,998.35,340.15,15.79
2018-05-13-16:00:00,3.14,998.15,337.15,15.08
2018-05-13-17:00:00,3.67,997.45,335.15,14.5
2018-05-13-18:00:00,2.25,997.15,336.15,14.17
2018-05-13-19:00:00,2.26,996.65,336.15,14.08
2018-05-13-20:00:00,1.02,996.75,339.15,14.69
2018-05-13-21:00:00,1.5,997.05,341.15,15.15
2018-05-13-22:00:00,2.34,997.45,340.15,15.21
2018-05-13-23:00:00,3.53,997.85,339.15,15.08
2018-05-14-00:00:01,2.3,998.26,340.15,15.88
2018-05-14-01:00:00,1.96,998.16,339.15,16.8
2018-05-14-02:00:00,1.46,997.96,335.15,17.25
2018-05-14-03:00:00,1.65,997.57,331.15,17.91
2018-05-14-04:00:00,2.72,996.77,329.15,18.49
2018-05-14-05:00:00,3.34,995.97,326.15,18.47
2018-05-14-06:00:00,2.81,995.18,327.15,19.79
2018-05-14-07:00:00,4.05,994.38,319.15,18.74
2018-05-14-08:00:00,6.54,993.88,316.15,18.04
2018-05-14-09:00:00,5.67,993.58,315.15,18.13
2018-05-14-10:00:00,5.69,993.38,317.15,18.59
2018-05-14-11:00:00,5.08,993.88,316.15,17.5
2018-05-14-12:00:00,3.22,994.28,320.15,17.79
2018-05-14-13:00:00,3.77,994.96,319.15,16.9
2018-05-14-14:00:00,4.42,995.47,319.15,16.17
2018-05-14-15:00:00,4.96,995.66,320.15,15.3
2018-05-14-16:00:00,4.6,995.76,326.15,15.58
2018-05-14-17:00:00,3.51,995.46,328.15,15.59
2018-05-14-18:00:00,3.48,995.56,327.15,15.3
2018-05-14-19:00:00,2.37,995.55,336.15,15.12
2018-05-14-20:00:00,2.56,995.45,342.15,15.47
2018-05-14-21:00:00,2.56,995.95,343.15,16.17
2018-05-14-22:00:00,3.22,996.35,341.15,16.49
2018-05-14-23:00:00,3.7,996.76,337.15,16.51
2018-05-15-00:00:01,3.17,997.16,334.15,17.57
2018-05-15-01:00:00,3.15,997.06,334.15,18.23
2018-05-15-02:00:00,3.0,996.97,332.15,18.65
2018-05-15-03:00:00,3.9,996.97,333.15,18.45
2018-05-15-04:00:00,4.43,996.97,333.15,18.63
2018-05-15-05:00:00,4.33,996.27,331.15,19.04
2018-05-15-06:00:00,3.77,995.47,332.15,19.22
2018-05-15-07:00:00,2.74,994.18,329.15,19.71
2018-05-15-08:00:00,3.69,994.07,331.15,20.17
2018-05-15-09:00:00,4.08,993.97,335.15,20.95
2018-05-15-10:00:00,1.71,993.86,349.15,20.66
2018-05-15-11:00:00,2.3,994.27,345.15,20.86
2018-05-15-12:00:00,5.49,994.86,355.15,21.97
2018-05-15-13:00:00,3.24,995.66,354.15,20.11
2018-05-15-14:00:00,2.91,994.76,359.15,20.48
2018-05-15-15:00:00,2.22,994.86,360.15,20.37
2018-05-15-16:00:00,3.76,994.86,362.15,20.43
2018-05-15-17:00:00,4.61,994.66,360.15,19.87
2018-05-15-18:00:00,4.37,994.05,360.15,19.09
2018-05-15-19:00:00,3.95,994.55,357.15,18.34
2018-05-15-20:00:00,2.64,993.85,358.15,18.33
2018-05-15-21:00:00,2.27,993.85,357.15,18.24
2018-05-15-22:00:00,1.44,993.95,356.15,18.25
2018-05-15-23:00:00,1.35,994.65,357.15,18.53
2018-05-16-00:00:01,3.16,995.35,355.15,18.64
2018-05-16-01:00:00,2.39,995.56,351.15,18.64
2018-05-16-02:00:00,0.64,995.86,350.15,19.02
2018-05-16-03:00:00,2.18,995.56,343.15,19.54
2018-05-16-04:00:00,1.72,995.56,341.15,19.18
2018-05-16-05:00:00,2.35,995.07,337.15,19.56
2018-05-16-06:00:00,3.1,994.87,334.15,19.56
2018-05-16-07:00:00,1.46,994.17,331.15,19.89
2018-05-16-08:00:00,2.34,993.57,330.15,19.62
2018-05-16-09:00:00,3.0,993.97,330.15,19.43
2018-05-16-10:00:00,3.13,995.07,332.15,19.6
2018-05-16-11:00:00,3.54,995.37,333.15,19.11
2018-05-16-12:00:00,1.53,996.06,339.15,19.86
2018-05-16-13:00:00,1.71,997.46,342.15,20.18
2018-05-16-14:00:00,1.88,998.06,345.15,20.47
2018-05-16-15:00:00,3.75,998.26,347.15,20.52
2018-05-16-16:00:00,4.38,998.86,356.15,20.21
2018-05-16-17:00:00,2.51,999.05,363.15,20.02
2018-05-16-18:00:00,0.42,998.75,362.15,19.84
2018-05-16-19:00:00,1.84,999.15,362.15,20.04
2018-05-16-20:00:00,0.72,999.05,361.15,19.86
2018-05-16-21:00:00,4.01,999.25,359.15,19.79
2018-05-16-22:00:00,4.22,999.95,356.15,19.23
2018-05-16-23:00:00,2.84,1000.35,352.15,18.45
2018-05-17-00:00:01,2.93,1000.55,349.15,18.42
2018-05-17-01:00:00,1.41,1001.05,346.15,18.37
2018-05-17-02:00:00,3.02,1002.55,355.15,19.03
2018-05-17-03:00:00,3.96,1002.04,352.15,16.11
2018-05-17-04:00:00,5.8,1002.25,343.15,14.64
2018-05-17-05:00:00,4.53,1001.85,339.15,14.5
2018-05-17-06:00:00,4.04,1001.85,343.15,15.21
2018-05-17-07:00:00,3.49,1001.45,341.15,15.34
2018-05-17-08:00:00,2.55,1001.05,334.15,15.29
2018-05-17-09:00:00,2.28,1001.15,328.15,13.8
2018-05-17-10:00:00,1.3,1001.65,327.15,13.43
2018-05-17-11:00:00,1.54,1002.05,326.15,13.05
2018-05-17-12:00:00,1.59,1002.55,334.15,14.63
2018-05-17-13:00:00,1.69,1002.85,334.15,14.25
2018-05-17-14:00:00,2.66,1003.75,339.15,14.98
2018-05-17-15:00:00,0.99,1003.35,341.15,14.86
2018-05-17-16:00:00,1.72,1003.34,345.15,14.97
2018-05-17-17:00:00,1.97,1003.44,347.15,15.49
2018-05-17-18:00:00,1.77,1003.75,341.15,14.38
2018-05-17-19:00:00,2.61,1004.14,343.15,14.35
2018-05-17-20:00:00,4.15,1004.44,336.15,12.94
2018-05-17-21:00:00,3.34,1004.94,333.15,12.39
2018-05-17-22:00:00,3.79,1005.94,332.15,11.95
2018-05-17-23:00:00,3.88,1006.74,332.15,11.95
2018-05-18-00:00:01,4.65,1007.44,328.15,12.02
2018-05-18-01:00:00,4.38,1007.85,321.15,11.38
2018-05-18-02:00:00,3.98,1007.86,317.15,12.0
2018-05-18-03:00:00,2.18,1007.66,314.15,12.4
2018-05-18-04:00:00,2.37,1007.46,313.15,12.21
2018-05-18-05:00:00,2.62,1006.76,308.15,11.38
2018-05-18-06:00:00,1.72,1005.97,306.15,10.85
2018-05-18-07:00:00,5.25,1005.77,307.15,11.57
2018-05-18-08:00:00,5.53,1005.47,306.15,11.65
2018-05-18-09:00:00,5.26,1005.36,307.15,11.3
2018-05-18-10:00:00,6.08,1005.56,311.15,12.25
2018-05-18-11:00:00,5.77,1006.36,313.15,12.3
2018-05-18-12:00:00,4.72,1007.25,315.15,12.49
2018-05-18-13:00:00,5.02,1008.15,318.15,12.34
2018-05-18-14:00:00,3.88,1008.95,319.15,11.75
2018-05-18-15:00:00,5.0,1009.94,318.15,10.78
2018-05-18-16:00:00,4.9,1010.54,319.15,10.19
2018-05-18-17:00:00,3.03,1010.64,330.15,11.15
2018-05-18-18:00:00,3.99,1010.64,330.15,10.68
2018-05-18-19:00:00,3.57,1010.63,332.15,10.53
2018-05-18-20:00:00,2.55,1010.63,331.15,10.28
2018-05-18-21:00:00,1.84,1010.93,334.15,10.74
2018-05-18-22:00:00,1.41,1011.43,337.15,11.17
2018-05-18-23:00:00,1.33,1011.74,333.15,11.44
2018-05-19-00:00:01,2.16,1011.84,328.15,11.46
2018-05-19-01:00:00,2.48,1011.15,322.15,11.41
2018-05-19-02:00:00,1.93,1011.35,320.15,12.08
2018-05-19-03:00:00,1.78,1010.95,313.15,11.12
2018-05-19-04:00:00,2.25,1010.16,307.15,9.7
2018-05-19-05:00:00,4.05,1009.36,304.15,8.95
2018-05-19-06:00:00,5.01,1008.76,303.15,8.91
2018-05-19-07:00:00,4.15,1008.56,306.15,9.34
2018-05-19-08:00:00,4.89,1008.26,302.15,7.71
2018-05-19-09:00:00,4.24,1008.75,302.15,7.1
2018-05-19-10:00:00,7.43,1009.35,305.15,8.18
2018-05-19-11:00:00,5.05,1010.64,330.15,12.47
2018-05-19-12:00:00,4.42,1011.14,343.15,13.38
2018-05-19-13:00:00,4.75,1011.73,348.15,13.56
2018-05-19-14:00:00,3.3,1011.53,344.15,13.02
2018-05-19-15:00:00,1.58,1011.44,348.15,13.37
2018-05-19-16:00:00,0.83,1011.73,344.15,12.73
2018-05-19-17:00:00,0.84,1011.93,338.15,11.69
2018-05-19-18:00:00,2.24,1011.93,339.15,12.49
2018-05-19-19:00:00,3.9,1012.23,342.15,13.07
2018-05-19-20:00:00,2.58,1012.03,343.15,13.0
2018-05-19-21:00:00,3.64,1012.23,348.15,13.66
2018-05-19-22:00:00,4.11,1012.93,350.15,13.38
2018-05-19-23:00:00,3.99,1013.33,352.15,13.77
2018-05-20-00:00:01,3.89,1014.03,351.15,13.57
2018-05-20-01:00:00,4.25,1014.43,347.15,12.58
2018-05-20-02:00:00,3.94,1014.73,345.15,12.17
2018-05-20-03:00:00,3.55,1015.13,345.15,11.98
2018-05-20-04:00:00,2.41,1015.13,350.15,12.8
2018-05-20-05:00:00,2.87,1014.73,353.15,12.59
2018-05-20-06:00:00,1.79,1014.33,347.15,12.49
2018-05-20-07:00:00,1.31,1013.83,336.15,10.84
2018-05-20-08:00:00,1.81,1013.53,335.15,10.7
2018-05-20-09:00:00,1.3,1013.43,335.15,10.98
2018-05-20-10:00:00,1.83,1013.13,341.15,12.08
2018-05-20-11:00:00,1.86,1013.73,340.15,11.86
2018-05-20-12:00:00,2.1,1013.93,340.15,11.57
2018-05-20-13:00:00,2.55,1014.33,346.15,12.47
2018-05-20-14:00:00,2.1,1014.23,344.15,12.06
2018-05-20-15:00:00,1.71,1013.93,343.15,11.84
2018-05-20-16:00:00,2.1,1014.03,349.15,12.5
2018-05-20-17:00:00,2.25,1013.93,354.15,13.07
2018-05-20-18:00:00,1.56,1013.63,354.15,13.27
2018-05-20-19:00:00,1.8,1013.03,353.15,13.18
2018-05-20-20:00:00,4.19,1013.93,346.15,12.09
2018-05-20-21:00:00,2.78,1013.32,364.15,13.36
2018-05-20-22:00:00,3.94,1013.32,365.15,13.13
2018-05-20-23:00:00,2.74,1013.32,365.15,13.63
2018-05-21-00:00:01,3.06,1013.52,363.15,13.69
2018-05-21-01:00:00,3.57,1013.23,362.15,13.91
2018-05-21-02:00:00,3.38,1013.13,359.15,14.18
2018-05-21-03:00:00,3.81,1013.33,355.15,13.85
2018-05-21-04:00:00,3.43,1013.03,353.15,14.06
2018-05-21-05:00:00,3.54,1012.33,350.15,14.16
2018-05-21-06:00:00,4.72,1011.73,347.15,13.65
2018-05-21-07:00:00,4.62,1011.03,345.15,13.33
2018-05-21-08:00:00,3.29,1010.44,342.15,12.78
2018-05-21-09:00:00,2.9,1010.14,338.15,11.98
2018-05-21-10:00:00,2.37,1010.13,345.15,13.04
2018-05-21-11:00:00,2.73,1010.33,345.15,12.94
2018-05-21-12:00:00,2.12,1010.33,358.15,14.2
2018-05-21-13:00:00,1.66,1010.43,358.15,14.0
2018-05-21-14:00:00,1.46,1010.33,356.15,13.54
2018-05-21-15:00:00,2.06,1010.43,357.15,13.82
2018-05-21-16:00:00,3.3,1010.43,360.15,13.77
2018-05-21-17:00:00,1.51,1009.73,361.15,13.35
2018-05-21-18:00:00,1.02,1009.33,361.15,12.76
2018-05-21-19:00:00,1.12,1009.13,358.15,12.43
2018-05-21-20:00:00,1.88,1009.03,359.15,12.61
2018-05-21-21:00:00,1.52,1009.33,359.15,12.7
2018-05-21-22:00:00,3.16,1009.23,354.15,12.29
2018-05-21-23:00:00,2.2,1009.73,360.15,12.98
2018-05-22-00:00:01,0.77,1010.33,359.15,13.1
2018-05-22-01:00:00,1.36,1009.73,337.15,10.79
2018-05-22-02:00:00,2.8,1008.64,313.15,7.04
2018-05-22-03:00:00,3.11,1007.75,298.15,2.11
2018-05-22-04:00:00,10.04,1007.16,285.15,-6.35
2018-05-22-05:00:00,10.51,1007.16,284.15,-7.33
2018-05-22-06:00:00,10.61,1006.46,285.15,-5.63
2018-05-22-07:00:00,10.15,1005.46,283.15,-7.7
2018-05-22-08:00:00,13.44,1005.16,283.15,-7.7
2018-05-22-09:00:00,9.82,1005.46,283.15,-8.41
2018-05-22-10:00:00,8.77,1005.86,283.15,-9.04
2018-05-22-11:00:00,6.3,1006.35,285.15,-8.03
2018-05-22-12:00:00,6.64,1006.94,286.15,-8.53
2018-05-22-13:00:00,3.99,1007.94,288.15,-8.14
2018-05-22-14:00:00,2.3,1008.43,290.15,-7.84
2018-05-22-15:00:00,1.54,1008.42,288.15,-9.38
2018-05-22-16:00:00,1.4,1008.01,297.15,-4.14
2018-05-22-17:00:00,3.01,1007.12,300.15,-4.31
2018-05-22-18:00:00,2.37,1007.33,302.15,-3.08
2018-05-22-19:00:00,1.72,1006.71,312.15,-0.85
2018-05-22-20:00:00,0.92,1006.51,317.15,0.17
2018-05-22-21:00:00,1.6,1006.41,322.15,1.11
2018-05-22-22:00:00,0.75,1006.52,324.15,2.79
2018-05-22-23:00:00,2.86,1006.23,314.15,1.39
2018-05-23-00:00:01,2.77,1005.14,304.15,-0.23
2018-05-23-01:00:00,2.22,1004.14,298.15,-1.17
2018-05-23-02:00:00,1.76,1003.05,297.15,0.17
2018-05-23-03:00:00,3.38,1001.95,297.15,0.94
2018-05-23-04:00:00,2.78,1000.66,297.15,3.09
2018-05-23-05:00:00,5.08,998.97,291.15,1.68
2018-05-23-06:00:00,5.35,997.97,293.15,3.92
2018-05-23-07:00:00,6.51,996.58,292.15,5.12
2018-05-23-08:00:00,6.86,995.58,290.15,4.19
2018-05-23-09:00:00,7.05,994.98,290.15,4.28
2018-05-23-10:00:00,6.39,994.58,290.15,4.03
2018-05-23-11:00:00,6.66,994.77,295.15,6.89
2018-05-23-12:00:00,5.28,995.27,298.15,7.46
2018-05-23-13:00:00,3.76,996.07,301.15,7.99
2018-05-23-14:00:00,4.05,996.47,304.15,8.43
2018-05-23-15:00:00,2.5,996.85,307.15,8.45
2018-05-23-16:00:00,0.85,996.94,314.15,9.22
2018-05-23-17:00:00,1.54,997.04,334.15,10.84
2018-05-23-18:00:00,1.24,997.33,335.15,10.7
2018-05-23-19:00:00,2.46,997.83,345.15,11.2
2018-05-23-20:00:00,1.69,998.03,343.15,10.78
2018-05-23-21:00:00,1.51,998.43,343.15,10.88
2018-05-23-22:00:00,0.55,998.64,340.15,11.57
2018-05-23-23:00:00,1.31,998.95,327.15,11.47
2018-05-24-00:00:01,1.71,999.06,323.15,11.53
2018-05-24-01:00:00,1.73,999.26,315.15,11.31
2018-05-24-02:00:00,3.4,999.27,313.15,11.76
2018-05-24-03:00:00,2.88,998.67,306.15,11.56
2018-05-24-04:00:00,2.41,997.98,299.15,10.02
2018-05-24-05:00:00,4.32,997.38,301.15,11.73
2018-05-24-06:00:00,6.38,996.38,295.15,9.27
2018-05-24-07:00:00,5.43,995.98,290.15,5.76
2018-05-24-08:00:00,6.12,995.68,290.15,5.85
2018-05-24-09:00:00,6.89,995.68,294.15,7.82
2018-05-24-10:00:00,5.41,995.68,296.15,8.56
2018-05-24-11:00:00,4.33,995.67,302.15,10.78
2018-05-24-12:00:00,3.39,996.17,306.15,11.65
2018-05-24-13:00:00,3.62,996.97,317.15,14.38
2018-05-24-14:00:00,3.76,997.46,321.15,14.98
2018-05-24-15:00:00,4.04,997.76,319.15,13.96
