data-time,wind,dir,slp,t2,rh2,td2,nwp_wind,nwp_dir,nwp_u,nwp_v,nwp_t,nwp_rh,nwp_psfc,nwp_slp,residual
2018-03-03-16:00:00,0.46,334.0,1009.1,281.15,54.0,272.43,2.59747,237.84238,-0.87189,-2.00011,277.84903,68.23769,1006.77997,1013.92914,-2.13747
2018-03-03-17:00:00,4.03,34.0,1009.7,282.95,15.0,257.41,3.92669,141.42824,-2.29465,-2.85784,278.52292,43.40946,1007.80829,1014.98273,0.10331000000000046
2018-03-03-18:00:00,6.19,41.0,1010.6,283.95,11.0,254.47,5.2559,45.01411,-3.7174,-3.71557,279.19684,18.58122,1008.83655,1016.03625,0.9341000000000008
2018-03-03-19:00:00,5.71,29.0,1011.7,283.15,11.0,253.83,5.10334,34.92545,-2.88543,-4.02376,278.92627,19.12536,1009.37714,1016.58752,0.6066599999999998
2018-03-03-20:00:00,5.97,39.0,1012.1,282.65,11.0,253.43,4.95078,24.83678,-2.05346,-4.33195,278.6557,19.66951,1009.91779,1017.13873,1.0192199999999998
2018-03-03-21:00:00,6.25,20.0,1012.5,281.95,12.0,253.9,4.79822,14.74811,-1.22148,-4.64013,278.38513,20.21365,1010.45837,1017.69,1.4517800000000003
2018-03-03-22:00:00,4.14,61.0,1013.3,281.15,13.0,254.2,3.77459,49.36607,-1.31984,-2.81778,277.80292,24.43377,1011.51764,1018.7677,0.3654099999999998
2018-03-03-23:00:00,4.0,122.0,1014.4,280.15,53.0,271.23,2.75097,83.98404,-1.4182,-0.99543,277.2207,28.65388,1012.57684,1019.8454,1.2490299999999999
2018-03-04-00:00:01,4.64,160.0,1015.2,279.55,67.0,273.88,1.72735,118.60201,-1.51655,0.82692,276.63849,32.874,1013.63611,1020.9231,2.9126499999999997
2018-03-04-01:00:00,4.89,158.0,1016.2,279.35,53.0,270.48,2.15528,131.07376,-1.41901,1.46834,277.7142,30.25488,1014.30774,1021.60333,2.73472
2018-03-04-02:00:00,5.63,163.0,1016.9,279.65,47.0,269.15,2.58321,143.54553,-1.32146,2.10976,278.78995,27.63576,1014.97931,1022.28351,3.04679
2018-03-04-03:00:00,5.35,181.0,1017.7,280.05,36.0,265.99,3.01114,156.01729,-1.22391,2.75119,279.86566,25.01664,1015.65094,1022.96375,2.3388599999999995
2018-03-04-04:00:00,5.54,150.0,1017.4,279.55,34.0,264.79,2.96419,159.603,-1.03483,2.76551,280.12375,24.56083,1014.9978,1022.29938,2.57581
2018-03-04-05:00:00,5.67,159.0,1016.7,279.55,32.0,264.01,2.91723,163.18871,-0.84576,2.77982,280.38187,24.10502,1014.34473,1021.63501,2.75277
2018-03-04-06:00:00,5.95,154.0,1016.2,279.95,30.0,263.53,2.87027,166.77441,-0.65668,2.79414,280.63995,23.64922,1013.69159,1020.97064,3.07973
2018-03-04-07:00:00,5.63,143.0,1016.0,279.85,30.0,263.45,2.91589,169.83562,-0.50844,2.86264,280.37201,23.73113,1013.79919,1021.07623,2.71411
2018-03-04-08:00:00,6.12,141.0,1016.2,279.05,30.0,262.74,2.9615,172.89682,-0.3602,2.93114,280.1041,23.81305,1013.9068,1021.18188,3.1585
2018-03-04-09:00:00,4.83,140.0,1016.6,278.25,31.0,262.44,3.00711,175.95802,-0.21196,2.99963,279.83615,23.89496,1014.0144,1021.28748,1.8228900000000001
2018-03-04-10:00:00,4.96,137.0,1017.4,277.75,32.0,262.4,2.72056,168.58673,-0.45685,2.64227,278.39511,27.2625,1015.12354,1022.41376,2.23944
2018-03-04-11:00:00,4.55,138.0,1018.9,277.35,32.0,262.05,2.434,161.21542,-0.70174,2.28491,276.9541,30.63004,1016.23273,1023.53998,2.1159999999999997
2018-03-04-12:00:00,3.05,153.0,1020.1,276.45,34.0,262.01,2.26339,180.13898,0.00549,2.26338,274.97076,38.09,1016.83362,1024.18689,0.78661
2018-03-04-13:00:00,4.28,148.0,1021.1,276.35,34.0,261.92,2.1425,189.57744,0.30553,2.06596,274.06873,40.82925,1017.46204,1024.8363,2.1375
2018-03-04-14:00:00,2.54,97.0,1021.5,274.15,41.0,262.3,2.02161,199.0159,0.60557,1.86853,273.16669,43.56851,1018.09052,1025.4856,0.5183900000000001
2018-03-04-15:00:00,1.86,123.0,1021.6,274.25,41.0,262.39,1.90073,208.45436,0.90562,1.67111,272.26465,46.30777,1018.71893,1026.13501,-0.04072999999999993
2018-03-04-16:00:00,2.43,97.0,1022.0,273.15,44.0,262.28,1.33255,188.0984,0.5685,1.16916,271.82364,48.04899,1018.94409,1026.37024,1.0974500000000003
2018-03-04-17:00:00,1.44,48.0,1022.3,271.65,51.0,263.69,0.76438,167.74243,0.23137,0.66722,271.38266,49.79021,1019.16919,1026.60535,0.67562
2018-03-04-18:00:00,2.09,81.0,1022.7,272.75,47.0,263.79,0.1962,147.38647,-0.10575,0.16527,270.94165,51.53143,1019.39435,1026.84058,1.8938
2018-03-04-19:00:00,2.22,1.0,1022.9,271.65,49.0,263.23,0.59271,121.59693,-0.5046,-0.04767,270.18964,55.74052,1019.94647,1027.40637,1.6272900000000003
2018-03-04-20:00:00,2.34,7.0,1023.3,270.25,55.0,263.23,0.98922,95.80739,-0.90345,-0.2606,269.43765,59.94962,1020.49866,1027.97229,1.3507799999999999
2018-03-04-21:00:00,1.38,1.0,1024.1,270.65,58.0,264.22,1.38573,70.01785,-1.30231,-0.47354,268.68564,64.15871,1021.05078,1028.53809,-0.005730000000000013
2018-03-04-22:00:00,1.34,291.0,1024.9,271.15,57.0,264.5,1.56036,86.98402,-1.41431,0.01135,269.59799,60.596,1021.9707,1029.47559,-0.2203599999999999
2018-03-04-23:00:00,1.16,352.0,1025.7,269.35,63.0,263.93,1.73499,103.9502,-1.5263,0.49625,270.51038,57.0333,1022.89056,1030.41309,-0.5749900000000001
2018-03-05-00:00:01,1.04,350.0,1026.6,272.85,54.0,265.48,1.90963,120.91637,-1.6383,0.98114,271.42273,53.4706,1023.81049,1031.35059,-0.8696299999999999
2018-03-05-01:00:00,2.41,103.0,1027.2,274.65,43.0,263.37,2.49936,129.43744,-1.76939,1.67642,273.39526,42.05667,1024.10327,1031.61353,-0.08935999999999966
2018-03-05-02:00:00,3.44,126.0,1027.5,275.65,35.0,261.66,3.08908,137.9585,-1.90048,2.3717,275.3678,30.64274,1024.396,1031.87646,0.3509199999999999
2018-03-05-03:00:00,4.47,159.0,1027.3,277.55,30.0,261.41,3.67881,146.47957,-2.03157,3.06699,277.34033,19.22881,1024.68884,1032.1394,0.7911899999999998
2018-03-05-04:00:00,4.83,137.0,1026.6,278.95,28.0,261.77,3.99387,157.27866,-1.38459,3.58569,278.13403,20.62651,1023.79669,1031.22046,0.8361300000000003
2018-03-05-05:00:00,5.45,176.0,1025.5,279.85,24.0,260.61,4.30894,168.07776,-0.73761,4.1044,278.92773,22.02421,1022.90448,1030.30139,1.1410600000000004
2018-03-05-06:00:00,5.86,180.0,1024.3,280.75,18.0,257.81,4.624,178.87685,-0.09064,4.62311,279.72144,23.42192,1022.01233,1029.38245,1.2360000000000007
2018-03-05-07:00:00,5.22,190.0,1023.5,281.15,18.0,258.15,4.53073,179.31456,-0.05562,4.53013,279.44034,23.34808,1021.62268,1028.98413,0.6892699999999996
2018-03-05-08:00:00,6.61,179.0,1023.2,281.25,19.0,258.9,4.43746,179.75226,-0.02061,4.43714,279.15921,23.27425,1021.23303,1028.58582,2.1725400000000006
2018-03-05-09:00:00,7.68,163.0,1022.8,280.65,21.0,259.63,4.34419,180.18997,0.0144,4.34416,278.87811,23.20041,1020.84338,1028.1875,3.3358099999999995
2018-03-05-10:00:00,6.94,176.0,1023.0,279.55,23.0,259.82,4.38929,171.73325,-0.62569,4.24739,276.88565,28.96242,1021.59021,1028.9856,2.5507100000000005
2018-03-05-11:00:00,8.05,160.0,1024.2,276.75,28.0,259.83,4.4344,163.27652,-1.26578,4.15061,274.89316,34.72443,1022.3371,1029.78381,3.6156000000000006
2018-03-05-12:00:00,6.72,160.0,1025.5,275.55,32.0,260.44,4.33314,156.61319,-1.71998,3.97716,272.57556,42.94853,1022.47314,1029.9762,2.3868599999999995
2018-03-05-13:00:00,5.48,164.0,1026.3,274.35,39.0,261.85,3.45367,131.56964,-1.70533,2.56777,271.55756,49.67726,1023.06506,1030.58533,2.0263300000000006
2018-03-05-14:00:00,3.75,141.0,1027.1,273.75,43.0,262.54,2.5742,106.52608,-1.69068,1.15838,270.53958,56.40599,1023.65698,1031.19458,1.1758000000000002
2018-03-05-15:00:00,3.09,93.0,1027.4,271.95,51.0,263.97,1.69472,81.48253,-1.67603,-0.25101,269.52158,63.13472,1024.2489,1031.80371,1.3952799999999999
2018-03-05-16:00:00,3.27,103.0,1027.9,271.05,58.0,264.6,1.63455,76.53595,-1.58073,-0.36745,269.02917,66.55688,1024.69067,1032.26038,1.63545
2018-03-05-17:00:00,4.28,121.0,1028.2,271.35,56.0,264.48,1.57438,71.58937,-1.48543,-0.48389,268.53677,69.97905,1025.13245,1032.71704,2.7056200000000006
2018-03-05-18:00:00,2.49,131.0,1028.4,271.15,58.0,264.7,1.51421,66.64279,-1.39012,-0.60033,268.04437,73.40121,1025.57422,1033.17371,0.9757900000000002
2018-03-05-19:00:00,1.68,105.0,1028.1,270.35,61.0,264.52,1.39229,65.08102,-1.26462,-0.58019,268.02795,74.75887,1025.80017,1033.4137,0.2877099999999999
2018-03-05-20:00:00,1.67,87.0,1028.3,269.95,63.0,264.51,1.27037,63.51924,-1.13912,-0.56005,268.01154,76.11652,1026.02625,1033.65381,0.39962999999999993
2018-03-05-21:00:00,2.47,93.0,1028.9,269.65,66.0,264.76,1.14845,61.95746,-1.01362,-0.53992,267.99512,77.47417,1026.2522,1033.8938,1.3215500000000002
2018-03-05-22:00:00,1.44,86.0,1029.9,269.65,66.0,264.76,1.3324,56.4549,-1.07965,-0.75755,268.73892,73.45074,1027.06055,1034.703,0.10759999999999992
2018-03-05-23:00:00,2.32,107.0,1031.0,269.25,69.0,264.88,1.51636,50.95233,-1.14568,-0.97519,269.48276,69.42731,1027.8689,1035.51208,0.8036399999999999
2018-03-06-00:00:02,1.46,98.0,1032.1,270.65,66.0,265.72,1.70031,45.44977,-1.2117,-1.19283,270.22656,65.40387,1028.67725,1036.32129,-0.24031000000000002
2018-03-06-01:00:00,4.59,113.0,1032.7,272.05,58.0,265.56,1.95346,74.37886,-1.41485,-0.24406,271.89902,59.02869,1028.91431,1036.52625,2.63654
2018-03-06-02:00:00,4.14,142.0,1033.2,273.15,55.0,265.15,2.20662,103.30795,-1.61799,0.7047,273.5715,52.6535,1029.15149,1036.73132,1.9333799999999997
2018-03-06-03:00:00,3.29,170.0,1033.1,274.45,48.0,264.6,2.45977,132.23705,-1.82114,1.65346,275.24396,46.27832,1029.38855,1036.93628,0.8302300000000002
2018-03-06-04:00:00,4.43,137.0,1032.3,275.25,41.0,263.31,2.87353,138.14178,-1.83184,2.17018,276.20694,41.46173,1028.39819,1035.91357,1.5564699999999996
2018-03-06-05:00:00,3.33,126.0,1031.0,276.15,35.0,262.11,3.28728,144.04654,-1.84254,2.68689,277.16995,36.64515,1027.40796,1034.89087,0.04272000000000009
2018-03-06-06:00:00,5.12,181.0,1030.0,277.15,30.0,261.05,3.70103,149.95128,-1.85324,3.20361,278.13293,31.82856,1026.4176,1033.86816,1.4189700000000003
2018-03-06-07:00:00,5.56,174.0,1029.3,277.95,26.0,259.96,4.15165,154.94998,-1.67292,3.76225,277.89758,32.82367,1025.90869,1033.34814,1.4083499999999995
2018-03-06-08:00:00,5.66,152.0,1028.8,277.55,25.0,259.12,4.60227,159.94868,-1.49259,4.32088,277.6622,33.81877,1025.3999,1032.82812,1.0577300000000003
2018-03-06-09:00:00,6.72,153.0,1028.6,277.35,26.0,259.44,5.05289,164.94739,-1.31227,4.87952,277.42685,34.81388,1024.89099,1032.30811,1.66711
2018-03-06-10:00:00,8.36,148.0,1029.3,276.05,31.0,260.49,4.86596,162.38417,-1.45371,4.63396,276.07687,35.50432,1025.60669,1033.06165,3.494039999999999
2018-03-06-11:00:00,8.35,149.0,1029.7,274.35,33.0,259.75,4.67903,159.82094,-1.59515,4.38841,274.72687,36.19476,1026.32227,1033.81519,3.6709699999999996
2018-03-06-12:00:00,6.41,144.0,1029.9,273.85,27.0,256.83,3.94772,157.59448,-1.50471,3.6497,272.45395,40.15219,1026.69934,1034.25,2.4622800000000002
2018-03-06-13:00:00,6.09,159.0,1030.1,273.65,29.0,257.53,3.37673,161.86226,-1.1274,3.16762,271.88397,42.09902,1026.68054,1034.24463,2.71327
2018-03-06-14:00:00,4.99,158.0,1029.9,273.25,33.0,258.76,2.80574,166.13002,-0.75008,2.68553,271.314,44.04584,1026.66174,1034.23914,2.18426
2018-03-06-15:00:00,4.51,147.0,1029.7,272.65,41.0,262.13,2.23476,170.3978,-0.37277,2.20345,270.74402,45.99266,1026.64294,1034.23376,2.2752399999999997
2018-03-06-16:00:00,4.76,144.0,1029.0,272.05,41.0,261.58,2.14644,154.04866,-0.80926,1.81058,270.31198,50.06719,1026.14014,1033.73694,2.6135599999999997
2018-03-06-17:00:00,3.49,137.0,1028.6,272.05,43.0,262.12,2.05813,137.69954,-1.24575,1.41771,269.87991,54.14172,1025.63745,1033.23999,1.4318700000000004
2018-03-06-18:00:00,3.84,138.0,1028.2,271.75,45.0,262.36,1.96982,121.3504,-1.68223,1.02484,269.44788,58.21624,1025.13464,1032.74316,1.87018
2018-03-06-19:00:00,3.55,131.0,1027.4,271.35,42.0,261.2,1.82171,118.31789,-1.59211,0.87579,269.09384,54.63585,1024.34656,1031.95837,1.7282899999999999
2018-03-06-20:00:00,2.94,108.0,1026.3,270.35,40.0,259.73,1.6736,115.28539,-1.502,0.72675,268.73978,51.05546,1023.55853,1031.17358,1.2664
2018-03-06-21:00:00,2.84,143.0,1025.9,270.85,37.0,259.33,1.5255,112.25288,-1.41188,0.5777,268.38574,47.47507,1022.77045,1030.38879,1.3144999999999998
2018-03-06-22:00:00,3.99,122.0,1024.9,270.65,37.0,259.14,1.33518,111.30257,-1.24136,0.49083,268.75992,47.47091,1022.34882,1029.96936,2.65482
2018-03-06-23:00:00,3.19,123.0,1024.6,270.45,40.0,259.83,1.14486,110.35226,-1.07085,0.40396,269.13406,47.46674,1021.92725,1029.55005,2.04514
2018-03-07-00:00:01,3.74,153.0,1024.7,271.05,39.0,260.1,0.95454,109.40196,-0.90034,0.31709,269.50824,47.46257,1021.50562,1029.13062,2.78546
2018-03-07-01:00:00,3.06,142.0,1024.9,271.45,40.0,260.75,1.03994,124.05544,-0.78117,0.57214,270.72263,48.78981,1020.92542,1028.51807,2.02006
2018-03-07-02:00:00,2.59,141.0,1024.3,271.75,41.0,261.3,1.12534,138.70891,-0.662,0.82719,271.93704,50.11706,1020.34521,1027.90564,1.4646599999999999
2018-03-07-03:00:00,1.93,118.0,1023.3,272.55,43.0,262.58,1.21074,153.36238,-0.54283,1.08223,273.15143,51.44431,1019.76501,1027.29309,0.71926
2018-03-07-04:00:00,2.31,155.0,1022.2,273.95,43.0,262.72,1.47798,162.27084,-0.36086,1.39231,274.05563,49.91306,1018.64929,1026.14307,0.83202
2018-03-07-05:00:00,1.87,132.0,1021.2,273.95,45.0,263.31,1.74522,171.17929,-0.17889,1.70238,274.95981,48.38181,1017.53351,1024.99316,0.12478000000000011
2018-03-07-06:00:00,2.09,11.0,1020.6,274.65,44.0,263.66,2.01245,180.08775,0.00308,2.01245,275.86401,46.85057,1016.41779,1023.84314,0.07755000000000001
2018-03-07-07:00:00,0.9,227.0,1020.0,274.75,43.0,263.46,1.6838,173.85135,-0.1072,1.66589,276.06345,48.13079,1016.15216,1023.56085,-0.7837999999999999
2018-03-07-08:00:00,1.39,119.0,1019.7,274.95,44.0,263.94,1.35515,167.61496,-0.21749,1.31932,276.26285,49.41101,1015.88647,1023.27856,0.034849999999999826
2018-03-07-09:00:00,2.66,161.0,1019.7,275.55,44.0,264.49,1.02649,161.37856,-0.32777,0.97276,276.46228,50.69123,1015.62085,1022.99628,1.6335100000000002
2018-03-07-10:00:00,1.93,94.0,1020.8,274.95,45.0,264.23,1.58523,108.78053,-0.27484,-0.25064,275.01297,56.20587,1016.9054,1024.2981,0.34477
2018-03-07-11:00:00,2.68,56.0,1022.4,274.05,48.0,264.23,2.14398,56.18251,-0.22191,-1.47403,273.56366,61.72051,1018.19,1025.59998,0.5360200000000002
2018-03-07-12:00:00,2.09,51.0,1023.8,273.25,50.0,264.01,1.77501,340.94504,0.5795,-1.67775,270.83759,76.71457,1020.6369,1028.1344,0.3149899999999999
2018-03-07-13:00:00,0.81,32.0,1024.9,272.25,55.0,265.13,1.86956,228.51282,0.34267,-1.80332,270.41257,78.33523,1021.79291,1029.27063,-1.05956
2018-03-07-14:00:00,2.4,326.0,1026.2,272.45,52.0,264.67,1.9641,116.08058,0.10583,-1.9289,269.98758,79.95588,1022.94897,1030.40686,0.43589999999999995
2018-03-07-15:00:00,2.93,21.0,1026.9,271.15,56.0,264.29,2.05864,3.64833,-0.131,-2.05447,269.56256,81.57654,1024.10498,1031.54309,0.8713600000000001
2018-03-07-16:00:00,2.53,11.0,1027.6,271.15,57.0,264.5,2.13483,15.59966,-0.5723,-1.95791,269.31973,77.7461,1024.55579,1032.01892,0.3951699999999998
2018-03-07-17:00:00,2.75,1.0,1028.2,271.35,53.0,263.85,2.21101,27.55098,-1.01361,-1.86136,269.07693,73.91566,1025.00671,1032.49475,0.5389900000000001
2018-03-07-18:00:00,1.94,357.0,1028.5,270.15,53.0,262.71,2.2872,39.5023,-1.45491,-1.7648,268.83411,70.08522,1025.45752,1032.97058,-0.34719999999999995
2018-03-07-19:00:00,2.7,352.0,1028.6,269.75,51.0,261.9,2.48284,43.29412,-1.71319,-1.78104,268.83133,64.63104,1025.62976,1033.15393,0.21716000000000024
2018-03-07-20:00:00,3.22,18.0,1028.7,269.95,46.0,260.92,2.67848,47.08594,-1.97147,-1.79727,268.82858,59.17686,1025.80212,1033.33728,0.5415200000000002
2018-03-07-21:00:00,4.39,34.0,1029.1,270.75,37.0,259.23,2.87413,50.87776,-2.22975,-1.81351,268.82581,53.72268,1025.97437,1033.52063,1.5158699999999996
2018-03-07-22:00:00,4.84,21.0,1029.3,270.45,34.0,258.03,2.51006,50.18304,-1.93338,-1.6003,269.487,47.68725,1026.64441,1034.21484,2.3299399999999997
2018-03-07-23:00:00,3.9,24.0,1030.1,270.45,32.0,257.36,2.146,49.48833,-1.637,-1.3871,270.14819,41.65182,1027.31445,1034.90894,1.754
2018-03-08-00:00:01,4.8,36.0,1030.5,272.35,27.0,257.21,1.78193,48.79361,-1.34062,-1.17389,270.80939,35.6164,1027.9845,1035.60315,3.01807
2018-03-08-01:00:00,5.14,41.0,1030.9,274.25,24.0,255.75,1.67831,80.91216,-1.17396,-0.38019,272.77332,31.10918,1027.84985,1035.42456,3.46169
2018-03-08-02:00:00,2.34,33.0,1031.0,275.95,21.0,255.61,1.57468,113.03071,-1.00729,0.41351,274.73721,26.60197,1027.71509,1035.24609,0.7653199999999998
2018-03-08-03:00:00,1.08,254.0,1030.6,278.05,19.0,256.19,1.47106,145.14926,-0.84062,1.20721,276.70114,22.09476,1027.58044,1035.0675,-0.39105999999999996
2018-03-08-04:00:00,1.89,176.0,1029.5,278.05,20.0,256.81,2.06653,159.04346,-0.43125,1.88292,277.20596,22.87425,1026.56982,1034.03503,-0.1765300000000003
2018-03-08-05:00:00,3.05,175.0,1028.2,279.45,18.0,256.71,2.662,172.93767,-0.02188,2.55863,277.71075,23.65375,1025.55908,1033.00244,0.3879999999999999
2018-03-08-06:00:00,4.32,166.0,1026.9,280.35,17.0,256.78,3.25747,186.83186,0.3875,3.23434,278.21558,24.43324,1024.54846,1031.96997,1.0625300000000002
2018-03-08-07:00:00,5.6,185.0,1026.3,280.25,21.0,259.29,3.45508,191.93027,0.74175,3.34513,278.08954,25.98619,1023.82031,1031.22974,2.1449199999999995
2018-03-08-08:00:00,5.5,185.0,1025.8,279.95,25.0,261.21,3.65268,197.02869,1.096,3.45592,277.96353,27.53915,1023.09216,1030.48962,1.8473199999999999
2018-03-08-09:00:00,4.84,203.0,1025.6,279.75,27.0,262.01,3.85028,202.12709,1.45026,3.56671,277.83749,29.0921,1022.36401,1029.74939,0.9897199999999997
2018-03-08-10:00:00,5.77,185.0,1024.7,279.15,28.0,261.95,3.58334,193.95415,0.92442,3.39341,276.06424,34.20763,1022.47559,1029.87524,2.1866599999999994
