data-time,wind,dir,slp,t2,rh2,td2,nwp_wind,nwp_dir,nwp_u,nwp_v,nwp_t,nwp_rh,nwp_psfc,nwp_slp,residual
2018-03-02-00:00:01,2.58,103.0,1008.6,272.95,42.0,262.69,1.61935,45.68564,-1.15868,-1.13127,270.62567,42.1016,1004.89111,1012.33185,0.96065
2018-03-02-01:00:00,1.68,114.0,1008.5,274.45,34.0,260.21,1.39826,64.2957,-1.08473,-0.69056,272.54102,38.69065,1004.45251,1011.85376,0.2817399999999999
2018-03-02-02:00:00,0.98,112.0,1007.7,275.45,32.0,260.35,1.17718,82.90576,-1.01079,-0.24984,274.45636,35.27971,1004.01398,1011.37561,-0.1971799999999999
2018-03-02-03:00:00,1.21,144.0,1007.1,277.35,29.0,260.8,0.95609,101.51583,-0.93684,0.19087,276.3717,31.86877,1003.57538,1010.89752,0.25390999999999997
2018-03-02-04:00:00,1.77,142.0,1006.0,278.15,27.0,260.61,1.29597,127.60284,-0.62713,0.78582,277.86093,31.35594,1002.20032,1009.474,0.47402999999999995
2018-03-02-05:00:00,2.5,115.0,1004.3,279.75,24.0,260.53,1.63584,153.68983,-0.31741,1.38076,279.35019,30.84311,1000.82532,1008.05042,0.86416
2018-03-02-06:00:00,1.72,195.0,1003.0,280.95,23.0,261.03,1.97572,179.77684,-0.0077,1.97571,280.83942,30.33028,999.45026,1006.62689,-0.25571999999999995
2018-03-02-07:00:00,2.49,160.0,1002.5,281.05,23.0,261.12,1.72919,182.14029,0.04414,1.72622,280.86868,34.39488,998.96991,1006.12836,0.7608100000000002
2018-03-02-08:00:00,3.36,151.0,1001.7,281.75,22.0,261.16,1.48265,184.50374,0.09597,1.47674,280.89798,38.45948,998.48962,1005.62976,1.8773499999999999
2018-03-02-09:00:00,1.74,153.0,1001.3,281.95,21.0,260.75,1.23612,186.86719,0.1478,1.22725,280.92725,42.52409,998.00928,1005.13123,0.5038799999999999
2018-03-02-10:00:00,2.21,87.0,1001.6,281.05,23.0,261.12,1.38328,134.95213,-0.1905,0.33945,278.82776,47.01969,998.02435,1005.14624,0.8267199999999999
2018-03-02-11:00:00,1.89,21.0,1001.8,278.55,27.0,260.96,1.53044,83.03708,-0.52879,-0.54834,276.72827,51.51529,998.03937,1005.16125,0.3595599999999999
2018-03-02-12:00:00,1.82,22.0,1002.0,277.25,30.0,261.14,1.62955,29.9352,-0.81318,-1.41216,274.70819,55.65762,998.57806,1005.69623,0.19045
2018-03-02-13:00:00,2.57,80.0,1002.1,277.85,30.0,261.67,1.71188,38.18417,-1.05251,-1.30305,274.03497,61.20657,998.36633,1005.5177,0.8581199999999998
2018-03-02-14:00:00,1.73,76.0,1001.9,277.75,38.0,264.61,1.7942,46.43315,-1.29183,-1.19394,273.36176,66.75552,998.15454,1005.33917,-0.06420000000000003
2018-03-02-15:00:00,1.93,70.0,1001.5,276.55,47.0,266.27,1.87652,54.68213,-1.53116,-1.08484,272.68854,72.30447,997.94281,1005.16064,0.05347999999999997
2018-03-02-16:00:00,2.47,127.0,1001.0,278.25,46.0,267.57,2.03437,50.02738,-1.53179,-1.31696,272.34482,74.11922,997.46417,1004.68085,0.4356300000000002
2018-03-02-17:00:00,1.01,305.0,1000.6,276.65,49.0,266.91,2.19222,45.37263,-1.53241,-1.54907,272.00107,75.93398,996.98553,1004.20105,-1.1822199999999998
2018-03-02-18:00:00,0.8,304.0,1000.2,275.25,50.0,265.88,2.35007,40.71788,-1.53303,-1.78119,271.65735,77.74873,996.5069,1003.72125,-1.55007
2018-03-02-19:00:00,0.6,318.0,999.4,274.05,53.0,265.51,2.24477,40.96671,-1.471,-1.69557,271.51208,81.56596,995.9118,1003.13226,-1.6447699999999998
2018-03-02-20:00:00,1.4,338.0,999.1,272.55,57.0,265.83,2.13947,41.21554,-1.40897,-1.60995,271.36685,85.38321,995.31665,1002.54333,-0.7394700000000003
2018-03-02-21:00:00,1.73,351.0,999.0,272.75,57.0,266.02,2.03417,41.46437,-1.34693,-1.52434,271.22159,89.20045,994.72156,1001.95435,-0.30417000000000005
2018-03-02-22:00:00,1.08,334.0,999.0,272.65,56.0,265.72,2.04264,31.99951,-1.05321,-1.68497,272.16986,87.94534,995.11737,1002.35248,-0.9626399999999999
2018-03-02-23:00:00,1.53,345.0,999.6,272.85,55.0,265.7,2.05112,22.53464,-0.75948,-1.84561,273.11813,86.69025,995.51324,1002.75061,-0.52112
2018-03-03-00:00:01,2.56,326.0,1000.5,274.85,50.0,265.5,2.05959,13.06978,-0.46575,-2.00624,274.06641,85.43514,995.90906,1003.14874,0.50041
2018-03-03-01:00:00,2.04,12.0,1000.7,276.85,44.0,265.69,1.8408,33.60179,-0.76159,-1.46119,276.89517,77.01299,996.06915,1003.26227,0.19920000000000004
2018-03-03-02:00:00,2.17,15.0,1000.7,279.45,40.0,266.82,1.62201,54.1338,-1.05743,-0.91613,279.72391,68.59083,996.22919,1003.37585,0.54799
2018-03-03-03:00:00,1.1,25.0,1000.8,281.85,41.0,269.34,1.40322,74.66581,-1.35326,-0.37108,282.55267,60.16867,996.38928,1003.48938,-0.3032199999999998
2018-03-03-04:00:00,1.9,148.0,1000.8,281.75,49.0,271.66,1.49948,110.45682,-0.88211,0.31626,283.72485,56.77193,996.12689,1003.19604,0.40052
2018-03-03-05:00:00,1.1,41.0,1000.9,282.25,49.0,272.12,1.59575,146.24783,-0.41096,1.0036,284.89703,53.37519,995.86456,1002.90271,-0.4957499999999999
2018-03-03-06:00:00,2.98,99.0,999.9,282.65,49.0,272.5,1.69202,182.03885,0.0602,1.69095,286.06921,49.97844,995.60217,1002.60938,1.28798
2018-03-03-07:00:00,2.48,91.0,1000.6,282.65,53.0,273.58,1.42614,157.50223,-0.24271,1.22155,286.0105,54.63671,996.37177,1003.3681,1.05386
2018-03-03-08:00:00,1.75,118.0,1002.0,282.25,53.0,273.2,1.16027,132.96562,-0.54562,0.75215,285.95181,59.29498,997.14142,1004.12689,0.5897300000000001
2018-03-03-09:00:00,1.74,108.0,1002.8,282.25,54.0,273.46,0.8944,108.42901,-0.84853,0.28275,285.8931,63.95324,997.91101,1004.88562,0.8456
2018-03-03-10:00:00,1.96,21.0,1004.3,281.45,57.0,273.45,1.28587,74.02229,-0.62829,-0.49826,283.36023,71.88546,998.9173,1005.90979,0.6741299999999999
2018-03-03-11:00:00,1.57,358.0,1005.2,281.25,57.0,273.27,1.67734,39.61558,-0.40806,-1.27926,280.82736,79.81769,999.92358,1006.93396,-0.10733999999999999
2018-03-03-12:00:00,1.11,9.0,1005.5,280.25,60.0,273.03,1.62136,12.65207,-0.35513,-1.58199,278.53125,88.74543,1002.50305,1009.63,-0.5113599999999998
2018-03-03-13:00:00,1.67,130.0,1006.2,281.05,62.0,274.24,1.50366,119.85355,-0.05313,-1.43545,278.07919,90.1856,1003.58594,1010.71185,0.16633999999999993
2018-03-03-14:00:00,1.21,300.0,1007.5,281.05,63.0,274.46,1.38596,227.05504,0.24886,-1.28892,277.62717,91.62576,1004.66882,1011.79376,-0.17596000000000012
2018-03-03-15:00:00,1.66,294.0,1008.6,281.25,62.0,274.43,1.26826,334.25653,0.55086,-1.14238,277.17511,93.06593,1005.75171,1012.87561,0.39174
