data-time,wind,dir,slp,t2,rh2,td2
20180302-0,1.59,103.0,1009.7,272.75,47.0,263.79
20180302-1,1.39,103.0,1009.6,274.85,39.0,262.3
20180302-2,1.56,171.0,1008.8,275.05,36.0,261.47
20180302-3,1.34,127.0,1008.2,277.35,32.0,262.05
20180302-4,1.63,234.0,1007.0,278.65,29.0,261.95
20180302-5,1.6,237.0,1005.5,279.55,28.0,262.3
20180302-6,2.3,134.0,1004.0,280.65,25.0,261.82
20180302-7,2.47,188.0,1003.6,282.15,24.0,262.61
20180302-8,2.64,187.0,1002.8,281.95,24.0,262.43
20180302-9,1.51,152.0,1002.4,281.85,24.0,262.35
20180302-10,1.1,44.0,1002.6,279.45,28.0,262.21
20180302-11,1.2,68.0,1002.8,276.15,35.0,262.11
20180302-12,1.25,42.0,1003.1,274.45,39.0,261.94
20180302-13,2.31,92.0,1003.1,276.95,39.0,264.22
20180302-14,1.11,28.0,1003.0,276.15,43.0,264.75
20180302-15,1.73,39.0,1002.7,273.05,52.0,264.33
20180302-16,0.85,147.0,1002.0,276.25,52.0,267.33
20180302-17,0.96,318.0,1001.7,274.25,57.0,266.65
20180302-18,0.88,70.0,1001.2,271.85,70.0,267.57
20180302-19,1.09,26.0,1000.5,271.35,69.0,266.92
20180302-20,0.76,28.0,1000.2,270.95,68.0,266.36
20180302-21,1.63,360.0,1000.1,271.05,70.0,266.79
20180302-22,1.82,1.0,1000.0,271.35,65.0,266.22
20180302-23,2.0,8.0,1000.7,272.15,63.0,266.62
20180303-0,2.86,348.0,1001.6,275.75,49.0,266.08
20180303-1,2.0,355.0,1001.8,276.85,46.0,266.27
20180303-2,1.4,43.0,1001.8,278.85,43.0,267.23
20180303-3,1.2,107.0,1001.9,281.15,52.0,271.91
20180303-4,1.57,173.0,1002.0,281.95,50.0,272.12
20180303-5,1.3,160.0,1002.0,282.35,52.0,273.03
20180303-6,2.13,111.0,1001.0,282.35,52.0,273.03
20180303-7,2.42,83.0,1001.7,282.55,54.0,273.74
20180303-8,1.11,117.0,1003.1,282.05,56.0,273.78
20180303-9,0.99,126.0,1003.9,281.75,61.0,274.68
20180303-10,1.88,21.0,1005.2,280.65,63.0,274.08
20180303-11,1.01,54.0,1006.3,280.05,72.0,275.37
20180303-12,0.49,131.0,1006.6,279.65,74.0,275.36
20180303-13,0.83,41.0,1007.3,278.95,76.0,275.06
20180303-14,1.89,303.0,1008.6,281.85,64.0,275.45
20180303-15,1.5,315.0,1009.7,278.15,70.0,273.14
20180303-16,1.5,155.0,1010.2,278.75,77.0,275.05
20180303-17,2.05,41.0,1010.7,277.15,79.0,273.84
20180303-18,3.62,48.0,1011.8,283.35,16.0,258.54
20180303-19,2.42,45.0,1012.7,282.15,16.0,257.54
20180303-20,1.75,59.0,1013.3,279.85,49.0,269.89
20180303-21,4.45,26.0,1013.6,281.75,15.0,256.42
20180303-22,3.92,61.0,1014.4,281.45,15.0,256.17
20180303-23,2.29,138.0,1015.5,279.05,59.0,271.66
20180304-0,2.7,158.0,1016.3,278.95,73.0,274.5
20180304-1,3.28,162.0,1017.4,278.95,54.0,270.36
20180304-2,4.02,172.0,1018.1,279.55,48.0,269.34
20180304-3,4.94,159.0,1018.9,279.95,39.0,266.95
20180304-4,4.79,167.0,1018.5,279.65,36.0,265.62
20180304-5,5.06,152.0,1017.8,279.65,35.0,265.26
20180304-6,4.75,159.0,1017.4,279.45,34.0,264.7
20180304-7,4.55,146.0,1017.2,279.35,34.0,264.61
20180304-8,4.63,142.0,1017.5,278.15,35.0,263.91
20180304-9,4.33,155.0,1017.8,277.85,36.0,264.0
20180304-10,3.2,139.0,1018.6,276.95,36.0,263.19
20180304-11,2.57,141.0,1020.1,276.15,39.0,263.49
20180304-12,1.83,149.0,1021.2,275.45,42.0,263.8
20180304-13,0.85,149.0,1022.3,274.05,46.0,263.68
20180304-14,1.28,78.0,1022.6,271.85,53.0,264.32
20180304-15,0.72,153.0,1022.7,271.05,60.0,265.0
20180304-16,1.42,82.0,1023.1,270.05,62.0,264.42
20180304-17,1.75,64.0,1023.4,271.15,57.0,264.5
20180304-18,1.24,66.0,1023.9,268.65,68.0,264.13
20180304-19,0.79,37.0,1024.1,268.15,68.0,263.65
20180304-20,0.58,33.0,1024.5,267.55,71.0,263.56
20180304-21,0.13,282.0,1025.2,267.15,77.0,264.11
20180304-22,0.62,166.0,1026.0,268.45,70.0,264.27
20180304-23,0.83,115.0,1026.8,266.65,79.0,263.91
20180305-0,0.78,54.0,1027.8,272.05,64.0,266.71
20180305-1,1.78,99.0,1028.3,274.35,47.0,264.23
20180305-2,2.64,136.0,1028.7,276.05,38.0,263.06
20180305-3,5.17,172.0,1028.4,278.25,32.0,262.85
20180305-4,4.5,164.0,1027.8,279.65,30.0,263.27
20180305-5,5.62,189.0,1026.7,280.75,25.0,261.91
20180305-6,6.3,174.0,1025.4,281.65,20.0,259.88
20180305-7,6.05,197.0,1024.7,281.55,19.0,259.16
20180305-8,6.3,178.0,1024.2,281.25,22.0,260.73
20180305-9,5.77,168.0,1024.0,280.05,25.0,261.3
20180305-10,5.72,171.0,1024.2,278.45,28.0,261.33
20180305-11,6.17,166.0,1025.4,275.95,33.0,261.18
20180305-12,5.44,156.0,1026.8,274.85,37.0,261.64
20180305-13,3.49,149.0,1027.5,273.35,45.0,262.75
20180305-14,2.35,128.0,1028.3,272.05,50.0,263.84
20180305-15,1.67,82.0,1028.5,271.05,56.0,264.2
20180305-16,1.83,113.0,1029.1,270.45,61.0,264.61
20180305-17,2.44,119.0,1029.4,270.55,61.0,264.71
20180305-18,1.44,114.0,1029.5,270.25,64.0,264.98
20180305-19,0.84,92.0,1029.2,268.75,68.0,264.23
20180305-20,1.46,46.0,1029.5,267.35,73.0,263.69
20180305-21,1.52,72.0,1030.1,268.55,71.0,264.54
20180305-22,0.6,98.0,1031.0,267.95,79.0,265.19
20180305-23,1.17,84.0,1032.1,267.15,83.0,264.97
20180306-0,1.12,73.0,1033.2,270.45,68.0,265.87
20180306-1,3.79,116.0,1033.8,271.95,60.0,265.86
20180306-2,4.33,143.0,1034.4,273.45,56.0,265.67
20180306-3,3.65,149.0,1034.3,274.75,48.0,264.88
20180306-4,3.24,137.0,1033.5,275.65,42.0,263.98
20180306-5,2.79,134.0,1032.1,277.05,36.0,263.28
20180306-6,5.2,182.0,1031.1,277.75,31.0,262.0
20180306-7,4.83,188.0,1030.4,277.75,29.0,261.16
20180306-8,5.51,168.0,1029.9,277.15,28.0,260.19
20180306-9,6.2,162.0,1029.9,276.65,30.0,260.61
20180306-10,6.85,162.0,1030.6,275.35,37.0,262.09
20180306-11,6.19,161.0,1031.1,273.85,39.0,261.39
20180306-12,5.55,154.0,1031.2,273.45,29.0,257.35
20180306-13,5.6,160.0,1031.3,273.15,33.0,258.67
20180306-14,3.94,153.0,1031.1,272.65,39.0,261.57
20180306-15,2.8,154.0,1031.0,271.95,45.0,262.54
20180306-16,3.56,160.0,1030.2,271.45,47.0,262.57
20180306-17,2.03,153.0,1029.8,270.85,51.0,262.94
20180306-18,2.91,148.0,1029.3,271.15,50.0,262.99
20180306-19,2.05,145.0,1028.6,270.85,46.0,261.77
20180306-20,0.86,112.0,1027.5,269.55,54.0,262.36
20180306-21,2.63,152.0,1027.1,270.65,40.0,260.01
20180306-22,3.23,136.0,1026.0,270.05,42.0,260.0
20180306-23,2.52,151.0,1025.8,269.85,45.0,260.58
20180307-0,3.53,151.0,1025.8,270.65,42.0,260.56
20180307-1,2.71,150.0,1026.1,271.45,43.0,261.56
