data-time,wind,dir,slp,t2,rh2,td2
20180302-0,2.56,110.0,1008.6,273.35,43.0,262.17
20180302-1,1.59,146.0,1008.5,274.75,36.0,261.2
20180302-2,2.18,32.0,1007.8,276.05,34.0,261.65
20180302-3,0.76,260.0,1007.1,276.65,33.0,261.81
20180302-4,2.12,127.0,1006.1,278.35,29.0,261.69
20180302-5,1.06,109.0,1004.3,279.95,27.0,262.19
20180302-6,2.69,148.0,1003.0,281.35,26.0,262.93
20180302-7,1.94,207.0,1002.5,281.55,26.0,263.11
20180302-8,2.41,152.0,1001.8,281.55,25.0,262.61
20180302-9,1.72,128.0,1001.4,281.75,25.0,262.78
20180302-10,0.63,163.0,1001.7,280.65,27.0,262.8
20180302-11,1.16,31.0,1001.9,279.35,29.0,262.57
20180302-12,2.88,25.0,1002.0,278.45,30.0,262.2
20180302-13,2.91,75.0,1002.1,279.85,31.0,263.87
20180302-14,1.63,122.0,1002.0,279.35,39.0,266.4
20180302-15,1.01,9.0,1001.6,276.85,48.0,266.83
20180302-16,1.45,348.0,1001.1,276.25,50.0,266.81
20180302-17,1.25,274.0,1000.7,273.95,55.0,265.9
20180302-18,0.54,261.0,1000.3,273.95,54.0,265.66
20180302-19,0.38,297.0,999.5,272.25,63.0,266.71
20180302-20,0.62,349.0,999.1,272.25,61.0,266.34
20180302-21,0.99,351.0,999.1,271.65,65.0,266.5
20180302-22,0.7,306.0,999.1,271.25,65.0,266.12
20180302-23,0.64,336.0,999.7,271.35,65.0,266.22
20180303-0,1.71,339.0,1000.6,274.75,54.0,266.41
20180303-1,2.65,22.0,1000.7,276.95,47.0,266.65
20180303-2,1.83,33.0,1000.8,279.45,43.0,267.78
20180303-3,1.49,21.0,1000.8,281.25,46.0,270.34
20180303-4,1.58,85.0,1000.9,282.05,50.0,272.21
20180303-5,1.4,110.0,1001.0,282.55,51.0,272.95
20180303-6,2.96,99.0,1000.1,282.75,52.0,273.41
20180303-7,2.9,103.0,1000.6,282.65,55.0,274.09
20180303-8,1.24,78.0,1002.1,282.35,56.0,274.06
20180303-9,1.68,94.0,1002.8,282.45,56.0,274.15
20180303-10,1.61,353.0,1004.3,281.45,60.0,274.17
20180303-11,1.04,334.0,1005.2,280.65,61.0,273.63
20180303-12,1.46,25.0,1005.6,281.85,60.0,274.54
20180303-13,1.71,33.0,1006.4,281.55,65.0,275.38
20180303-14,1.02,244.0,1007.6,280.15,68.0,274.67
20180303-15,0.96,260.0,1008.8,279.15,72.0,274.5
20180303-16,0.8,209.0,1009.2,280.05,68.0,274.57
20180303-17,2.47,18.0,1009.8,281.45,30.0,264.86
20180303-18,5.92,42.0,1010.7,283.75,15.0,258.07
20180303-19,5.82,32.0,1011.7,283.15,14.0,256.74
20180303-20,3.12,46.0,1012.3,282.15,15.0,256.75
20180303-21,5.06,23.0,1012.7,282.05,15.0,256.67
20180303-22,4.03,68.0,1013.4,281.85,15.0,256.5
20180303-23,2.77,121.0,1014.5,281.35,37.0,267.52
20180304-0,4.25,156.0,1015.2,279.65,67.0,273.98
20180304-1,4.01,169.0,1016.3,279.45,58.0,271.8
20180304-2,4.52,174.0,1017.0,279.65,50.0,269.98
20180304-3,5.58,183.0,1017.8,279.45,41.0,267.15
20180304-4,4.78,185.0,1017.5,279.35,38.0,266.06
20180304-5,6.0,162.0,1016.8,280.25,35.0,265.8
20180304-6,5.07,171.0,1016.2,279.95,34.0,265.15
