data-time,wind,dir,slp,t2,rh2,td2
20180302-0,1.62,100.0,1009.3,272.85,45.0,263.38
20180302-1,1.92,91.0,1009.2,274.75,40.0,262.54
20180302-2,1.41,157.0,1008.4,275.55,35.0,261.57
20180302-3,1.82,95.0,1007.8,277.65,31.0,261.91
20180302-4,2.08,174.0,1006.7,278.35,29.0,261.69
20180302-5,1.44,145.0,1005.1,279.95,27.0,262.19
20180302-6,3.44,185.0,1003.7,281.35,25.0,262.43
20180302-7,2.58,195.0,1003.2,280.85,25.0,262.0
20180302-8,1.28,176.0,1002.5,281.55,24.0,262.09
20180302-9,1.88,153.0,1002.1,281.55,24.0,262.09
20180302-10,0.59,67.0,1002.3,280.25,29.0,263.36
20180302-11,1.41,70.0,1002.5,277.75,35.0,263.55
20180302-12,0.9,36.0,1002.7,276.15,42.0,264.44
20180302-13,2.87,97.0,1002.8,277.15,38.0,264.06
20180302-14,1.07,72.0,1002.7,277.65,43.0,266.12
20180302-15,1.31,52.0,1002.3,275.75,51.0,266.6
20180302-16,0.44,94.0,1001.7,275.75,57.0,268.07
20180302-17,1.43,321.0,1001.4,274.95,54.0,266.6
20180302-18,0.56,33.0,1000.9,272.75,66.0,267.74
20180302-19,1.02,353.0,1000.1,272.35,70.0,268.05
20180302-20,1.25,12.0,999.8,272.35,67.0,267.53
20180302-21,1.93,334.0,999.8,272.05,68.0,267.42
20180302-22,1.35,352.0,999.7,271.85,67.0,267.05
20180302-23,2.0,342.0,1000.3,272.35,63.0,266.81
20180303-0,3.09,317.0,1001.2,274.65,53.0,266.08
20180303-1,1.95,350.0,1001.4,276.45,47.0,266.18
20180303-2,1.47,68.0,1001.4,279.45,43.0,267.78
20180303-3,1.37,43.0,1001.5,281.15,53.0,272.17
20180303-4,1.52,180.0,1001.6,281.65,53.0,272.64
20180303-5,1.19,171.0,1001.7,282.25,53.0,273.2
20180303-6,2.99,92.0,1000.6,282.55,52.0,273.22
20180303-7,2.37,98.0,1001.3,282.55,56.0,274.25
20180303-8,0.92,104.0,1002.8,282.15,56.0,273.87
20180303-9,0.78,147.0,1003.6,281.85,58.0,274.07
20180303-10,1.53,12.0,1004.9,281.25,62.0,274.43
20180303-11,1.17,31.0,1005.9,281.35,65.0,275.19
20180303-12,0.59,156.0,1006.2,279.55,65.0,273.46
20180303-13,0.79,244.0,1007.0,279.45,72.0,274.79
20180303-14,0.42,263.0,1008.3,279.45,68.0,273.99
20180303-15,1.31,312.0,1009.3,278.75,75.0,274.68
20180303-16,1.43,3.0,1009.8,278.85,68.0,273.42
20180303-17,1.97,59.0,1010.4,283.45,17.0,259.37
20180303-18,3.53,46.0,1011.5,283.95,13.0,256.49
20180303-19,3.08,34.0,1012.4,283.65,12.0,255.28
20180303-20,3.66,36.0,1012.9,282.75,13.0,255.51
20180303-21,4.72,22.0,1013.3,282.15,14.0,255.91
20180303-22,3.04,61.0,1014.1,281.35,15.0,256.09
20180303-23,2.56,144.0,1015.2,279.65,53.0,270.77
20180304-0,2.86,168.0,1015.9,278.85,74.0,274.59
20180304-1,3.64,164.0,1017.0,279.05,55.0,270.7
20180304-2,3.69,158.0,1017.7,279.45,48.0,269.24
20180304-3,5.57,161.0,1018.5,280.05,40.0,267.37
20180304-4,4.0,146.0,1018.2,279.15,37.0,265.53
20180304-5,4.23,158.0,1017.5,279.95,34.0,265.15
20180304-6,4.65,171.0,1017.0,279.35,34.0,264.61
20180304-7,3.92,153.0,1016.9,279.35,33.0,264.23
20180304-8,3.88,151.0,1017.1,278.55,35.0,264.27
20180304-9,2.9,138.0,1017.4,277.85,36.0,264.0
20180304-10,3.61,137.0,1018.3,276.85,36.0,263.1
20180304-11,2.56,144.0,1019.7,276.35,38.0,263.34
20180304-12,1.61,136.0,1020.9,275.45,40.0,263.17
20180304-13,1.54,96.0,1021.9,274.75,42.0,263.16
20180304-14,1.44,93.0,1022.2,273.95,46.0,263.59
20180304-15,0.92,123.0,1022.3,272.45,51.0,264.44
20180304-16,1.49,86.0,1022.7,272.45,50.0,264.22
20180304-17,1.34,62.0,1023.0,271.25,57.0,264.59
20180304-18,0.96,77.0,1023.5,271.15,58.0,264.7
20180304-19,1.51,357.0,1023.7,270.55,62.0,264.9
20180304-20,1.29,5.0,1024.1,269.15,67.0,264.45
20180304-21,1.02,151.0,1024.8,269.15,68.0,264.62
20180304-22,0.89,149.0,1025.6,268.55,69.0,264.21
20180304-23,0.86,15.0,1026.4,268.15,72.0,264.31
20180305-0,0.85,13.0,1027.4,272.45,61.0,266.53
20180305-1,1.69,103.0,1028.0,274.75,44.0,263.75
20180305-2,2.82,133.0,1028.3,275.95,37.0,262.63
20180305-3,4.26,161.0,1028.0,278.25,32.0,262.85
20180305-4,4.34,152.0,1027.4,279.05,30.0,262.74
20180305-5,5.78,187.0,1026.3,280.15,26.0,261.88
20180305-6,5.48,181.0,1025.1,281.65,21.0,260.49
20180305-7,5.96,199.0,1024.4,281.35,19.0,258.99
20180305-8,7.13,187.0,1023.9,281.25,21.0,260.15
20180305-9,5.81,175.0,1023.7,280.05,25.0,261.3
20180305-10,6.18,175.0,1023.8,278.25,27.0,260.7
20180305-11,6.17,163.0,1025.0,276.15,32.0,260.97
20180305-12,4.65,159.0,1026.4,274.75,37.0,261.55
20180305-13,2.86,149.0,1027.2,273.15,44.0,262.28
20180305-14,1.03,115.0,1027.9,272.25,50.0,264.03
20180305-15,1.92,90.0,1028.2,271.35,56.0,264.48
20180305-16,2.33,108.0,1028.6,270.75,60.0,264.71
20180305-17,1.79,127.0,1029.0,270.25,61.0,264.42
20180305-18,1.27,139.0,1029.2,269.85,63.0,264.41
20180305-19,0.44,59.0,1028.9,269.05,67.0,264.35
20180305-20,1.3,82.0,1029.1,269.25,68.0,264.71
20180305-21,1.38,83.0,1029.7,269.05,71.0,265.02
20180305-22,0.57,81.0,1030.7,269.25,69.0,264.88
20180305-23,1.11,96.0,1031.7,268.75,74.0,265.21
20180306-0,0.56,94.0,1032.8,270.65,67.0,265.89
20180306-1,3.16,109.0,1033.4,271.85,59.0,265.56
20180306-2,3.6,125.0,1034.0,273.35,55.0,265.34
20180306-3,3.13,128.0,1033.9,274.25,50.0,264.94
20180306-4,3.88,153.0,1033.1,275.95,42.0,264.26
20180306-5,2.18,179.0,1031.7,276.55,37.0,263.18
20180306-6,3.25,175.0,1030.7,277.85,33.0,262.88
20180306-7,5.35,175.0,1030.0,277.65,29.0,261.07
20180306-8,4.96,171.0,1029.6,276.95,29.0,260.45
20180306-9,4.87,156.0,1029.5,276.65,29.0,260.18
20180306-10,5.46,151.0,1030.2,275.25,36.0,261.65
20180306-11,6.35,166.0,1030.7,273.85,38.0,261.07
20180306-12,4.77,160.0,1030.8,273.45,30.0,257.77
20180306-13,4.86,157.0,1031.0,273.05,32.0,258.2
20180306-14,3.36,153.0,1030.8,272.55,38.0,261.18
20180306-15,3.27,159.0,1030.6,272.05,44.0,262.38
20180306-16,3.45,156.0,1029.9,271.45,45.0,262.08
20180306-17,1.67,144.0,1029.5,271.15,48.0,262.53
20180306-18,2.08,140.0,1029.0,271.05,49.0,262.67
20180306-19,1.5,133.0,1028.2,270.45,52.0,262.78
20180306-20,1.81,101.0,1027.1,270.25,42.0,260.18
20180306-21,1.56,125.0,1026.7,270.35,40.0,259.73
