data-time,wind,dir,slp,t2,rh2,td2
20180302-0,2.93,103.0,1008.6,272.95,42.0,262.69
20180302-1,1.93,92.0,1008.5,274.45,34.0,260.21
20180302-2,1.42,85.0,1007.7,275.45,32.0,260.35
20180302-3,1.24,51.0,1007.1,277.35,29.0,260.8
20180302-4,1.61,236.0,1006.0,278.15,27.0,260.61
20180302-5,2.1,148.0,1004.3,279.75,24.0,260.53
20180302-6,3.18,130.0,1003.0,280.95,23.0,261.03
20180302-7,2.32,130.0,1002.5,281.05,23.0,261.12
20180302-8,2.19,170.0,1001.7,281.75,22.0,261.16
20180302-9,2.81,124.0,1001.3,281.95,21.0,260.75
20180302-10,1.91,85.0,1001.6,281.05,23.0,261.12
20180302-11,1.48,19.0,1001.8,278.55,27.0,260.96
20180302-12,2.41,27.0,1002.0,277.25,30.0,261.14
20180302-13,3.02,96.0,1002.1,277.85,30.0,261.67
20180302-14,1.3,96.0,1001.9,277.75,38.0,264.61
20180302-15,1.59,37.0,1001.5,276.55,47.0,266.27
20180302-16,2.33,149.0,1001.0,278.25,46.0,267.57
20180302-17,0.6,266.0,1000.6,276.65,49.0,266.91
20180302-18,0.95,354.0,1000.2,275.25,50.0,265.88
20180302-19,0.91,332.0,999.4,274.05,53.0,265.51
20180302-20,1.65,360.0,999.1,272.55,57.0,265.83
20180302-21,2.27,351.0,999.0,272.75,57.0,266.02
20180302-22,1.5,334.0,999.0,272.65,56.0,265.72
20180302-23,2.15,2.0,999.6,272.85,55.0,265.7
20180303-0,2.71,347.0,1000.5,274.85,50.0,265.5
20180303-1,2.44,19.0,1000.7,276.85,44.0,265.69
20180303-2,1.88,2.0,1000.7,279.45,40.0,266.82
20180303-3,1.5,15.0,1000.8,281.85,41.0,269.34
20180303-4,1.76,109.0,1000.8,281.75,49.0,271.66
20180303-5,1.13,109.0,1000.9,282.25,49.0,272.12
20180303-6,2.69,108.0,999.9,282.65,49.0,272.5
20180303-7,2.87,98.0,1000.6,282.65,53.0,273.58
20180303-8,1.44,66.0,1002.0,282.25,53.0,273.2
20180303-9,1.63,114.0,1002.8,282.25,54.0,273.46
20180303-10,2.01,29.0,1004.3,281.45,57.0,273.45
20180303-11,1.55,19.0,1005.2,281.25,57.0,273.27
20180303-12,1.9,44.0,1005.5,280.25,60.0,273.03
20180303-13,1.22,56.0,1006.2,281.05,62.0,274.24
20180303-14,0.88,328.0,1007.5,281.05,63.0,274.46
20180303-15,1.41,293.0,1008.6,281.25,62.0,274.43
20180303-16,1.53,2.0,1009.1,281.15,54.0,272.43
20180303-17,3.05,34.0,1009.7,282.95,15.0,257.41
20180303-18,4.71,44.0,1010.6,283.95,11.0,254.47
20180303-19,4.99,33.0,1011.7,283.15,11.0,253.83
20180303-20,4.09,41.0,1012.1,282.65,11.0,253.43
20180303-21,5.99,19.0,1012.5,281.95,12.0,253.9
20180303-22,4.51,64.0,1013.3,281.15,13.0,254.2
20180303-23,3.6,129.0,1014.4,280.15,53.0,271.23
20180304-0,3.49,162.0,1015.2,279.55,67.0,273.88
20180304-1,4.86,161.0,1016.2,279.35,53.0,270.48
20180304-2,4.25,173.0,1016.9,279.65,47.0,269.15
20180304-3,6.13,177.0,1017.7,280.05,36.0,265.99
20180304-4,5.51,168.0,1017.4,279.55,34.0,264.79
20180304-5,5.41,162.0,1016.7,279.55,32.0,264.01
20180304-6,5.47,159.0,1016.2,279.95,30.0,263.53
20180304-7,5.38,148.0,1016.0,279.85,30.0,263.45
20180304-8,5.74,145.0,1016.2,279.05,30.0,262.74
20180304-9,5.46,129.0,1016.6,278.25,31.0,262.44
20180304-10,5.55,138.0,1017.4,277.75,32.0,262.4
20180304-11,3.97,144.0,1018.9,277.35,32.0,262.05
20180304-12,4.14,165.0,1020.1,276.45,34.0,262.01
20180304-13,3.51,156.0,1021.1,276.35,34.0,261.92
20180304-14,2.01,101.0,1021.5,274.15,41.0,262.3
20180304-15,2.16,126.0,1021.6,274.25,41.0,262.39
20180304-16,2.11,100.0,1022.0,273.15,44.0,262.28
20180304-17,2.38,70.0,1022.3,271.65,51.0,263.69
20180304-18,2.42,75.0,1022.7,272.75,47.0,263.79
20180304-19,2.01,12.0,1022.9,271.65,49.0,263.23
20180304-20,3.02,18.0,1023.3,270.25,55.0,263.23
20180304-21,2.21,23.0,1024.1,270.65,58.0,264.22
20180304-22,1.0,84.0,1024.9,271.15,57.0,264.5
20180304-23,1.09,3.0,1025.7,269.35,63.0,263.93
20180305-0,0.94,8.0,1026.6,272.85,54.0,265.48
20180305-1,2.56,97.0,1027.2,274.65,43.0,263.37
20180305-2,3.46,112.0,1027.5,275.65,35.0,261.66
20180305-3,4.57,153.0,1027.3,277.55,30.0,261.41
20180305-4,4.65,162.0,1026.6,278.95,28.0,261.77
20180305-5,5.45,184.0,1025.5,279.85,24.0,260.61
20180305-6,5.16,194.0,1024.3,280.75,18.0,257.81
20180305-7,4.96,194.0,1023.5,281.15,18.0,258.15
20180305-8,5.93,190.0,1023.2,281.25,19.0,258.9
20180305-9,6.77,171.0,1022.8,280.65,21.0,259.63
20180305-10,5.94,174.0,1023.0,279.55,23.0,259.82
20180305-11,8.09,163.0,1024.2,276.75,28.0,259.83
20180305-12,7.21,158.0,1025.5,275.55,32.0,260.44
20180305-13,6.26,158.0,1026.3,274.35,39.0,261.85
20180305-14,4.43,154.0,1027.1,273.75,43.0,262.54
20180305-15,3.6,90.0,1027.4,271.95,51.0,263.97
20180305-16,3.97,109.0,1027.9,271.05,58.0,264.6
20180305-17,3.24,120.0,1028.2,271.35,56.0,264.48
20180305-18,2.8,134.0,1028.4,271.15,58.0,264.7
20180305-19,1.3,113.0,1028.1,270.35,61.0,264.52
20180305-20,2.08,75.0,1028.3,269.95,63.0,264.51
20180305-21,2.72,85.0,1028.9,269.65,66.0,264.76
20180305-22,1.52,109.0,1029.9,269.65,66.0,264.76
20180305-23,2.7,106.0,1031.0,269.25,69.0,264.88
20180306-0,1.82,101.0,1032.1,270.65,66.0,265.72
20180306-1,4.17,117.0,1032.7,272.05,58.0,265.56
20180306-2,4.71,135.0,1033.2,273.15,55.0,265.15
20180306-3,3.73,144.0,1033.1,274.45,48.0,264.6
20180306-4,4.63,149.0,1032.3,275.25,41.0,263.31
20180306-5,3.29,128.0,1031.0,276.15,35.0,262.11
20180306-6,4.94,165.0,1030.0,277.15,30.0,261.05
